score,n,events,median_recurrence,median_nonrecurrence,wilcoxon_asymptotic_continuity_p,cliffs_delta,roc_auc,average_precision,matches_primary_wilcoxon,matches_primary_auc,matches_primary_average_precision
clean_D1_loss,77,7,0.246413196033867,-0.1266151310037935,0.046215981411976165,0.46122448979591835,0.7306122448979592,0.3048002149825858,True,True,True
clean_D2,77,7,-0.433653754799516,0.160665558182928,0.4951181594022074,-0.15918367346938775,0.4204081632653061,0.2211001053114627,True,True,True
five_hub,77,7,0.48844849371524,0.02812830524886465,0.3999759030759058,0.19591836734693877,0.5979591836734693,0.3572504222359783,True,True,True
