"method","dims","resolution","clusters","ARI_program","mean_sample_entropy","mean_program_neighbor_purity"
"PCA_no_Harmony",20,0.3,4,0.383442857992725,0.247022417451227,0.820872274143302
"Harmony_sample",20,0.3,4,0.33162893906238,0.453696215776446,0.812897196261682
"PCA_no_Harmony",30,0.3,4,0.390608428170729,0.247983207638588,0.813457943925234
"Harmony_sample",30,0.3,4,0.301939082963977,0.473852606186492,0.799563862928349
"PCA_no_Harmony",40,0.3,4,0.39282921491337,0.252831278531238,0.80809968847352
"Harmony_sample",40,0.3,4,0.327889928181178,0.513735696226179,0.793333333333333
