"gene_set","gene"
"clean_D2","RCN3"
"clean_D2","POSTN"
"clean_D2","ADAM12"
"clean_D2","COL6A2"
"clean_D2","MDK"
"clean_D2","CREB3L1"
"clean_D2","CERCAM"
"clean_D2","GXYLT2"
"clean_D2","SERPINH1"
"clean_D2","THY1"
"clean_D2","FN1"
"clean_D2","SFRP2"
"clean_D2","COL5A2"
"clean_D2","COL3A1"
"clean_D2","COL5A1"
"clean_D2","COL1A2"
"clean_D2","SPARC"
"clean_D2","COL1A1"
"branch_common_increasing","HAS2"
"branch_common_increasing","PMP22"
"branch_common_increasing","PRELP"
"branch_common_increasing","HLA-A"
"branch_common_increasing","ADGRA2"
"branch_common_increasing","NUCB2"
"branch_common_increasing","CSF1"
"branch_common_increasing","CMBL"
"branch_common_increasing","FAM20A"
"branch_common_increasing","TMEM263"
"branch_common_increasing","KCTD12"
"branch_common_increasing","COL15A1"
"branch_common_increasing","LRRC75A"
"branch_common_increasing","PTGDS"
"branch_common_increasing","SLC35E1"
"branch_common_increasing","TTC3"
"branch_common_increasing","ELN"
"branch_common_increasing","IL32"
"branch_common_increasing","CHRD"
"branch_common_increasing","CCND2"
"branch_common_increasing","TMEM205"
"branch_common_increasing","MRGPRF"
"branch_common_increasing","TSPAN9"
"branch_common_increasing","PTPN14"
"branch_common_increasing","CD248"
"branch_common_increasing","CYP1B1"
"branch_common_increasing","LTBR"
"branch_common_increasing","SERPINB6"
"branch_common_increasing","FBLN2"
"branch_common_increasing","ARHGAP22"
"branch_common_increasing","MYO18A"
"branch_common_increasing","RP11-492E3.51"
"branch_common_increasing","IFNGR2"
"branch_common_increasing","CFH"
"branch_common_increasing","PRKAR2A"
"branch_common_increasing","SEC31A"
"branch_common_increasing","CLEC2A"
"branch_common_increasing","SEC23A"
"branch_common_increasing","TENM4"
"branch_common_increasing","CILP"
"branch_common_increasing","CCL2"
"branch_common_increasing","BRE"
"branch_common_increasing","CXCL12"
"branch_common_increasing","NRN1"
"branch_common_increasing","CLTB"
"branch_common_increasing","PTGIS"
"branch_common_increasing","FGGY"
"branch_common_increasing","DCN"
"branch_common_increasing","NFATC2"
"branch_common_increasing","CENPP"
"branch_common_increasing","FUCA2"
"branch_common_increasing","IFI16"
"branch_common_increasing","SH3GLB1"
"branch_common_increasing","PALM"
"branch_common_increasing","CLEC2B"
"branch_common_increasing","DDB2"
"branch_common_increasing","GALNT5"
"branch_common_increasing","MAN1C1"
"branch_common_increasing","ECM2"
"branch_common_increasing","APOE"
"branch_common_increasing","FAM129A"
"branch_common_increasing","TNC"
"branch_common_increasing","MAST2"
"branch_common_increasing","KLHL22"
"branch_common_increasing","ARAP1"
"branch_common_increasing","IGDCC4"
"branch_common_increasing","KLHDC3"
"branch_common_increasing","GTF3C1"
"branch_common_increasing","DPYSL3"
"branch_common_increasing","MYO1C"
"branch_common_increasing","B2M"
"branch_common_increasing","FAM102A"
"branch_common_increasing","TXNDC15"
"branch_common_increasing","EFEMP1"
"branch_common_increasing","ZNF106"
"branch_common_increasing","SLC12A4"
"branch_common_increasing","ANXA1"
"branch_common_increasing","RARRES3"
"branch_common_increasing","AKR1C3"
"branch_common_increasing","RNPEPL1"
"branch_common_increasing","OLFM2"
"branch_common_increasing","KCNK6"
"branch_common_increasing","ARSA"
"branch_common_increasing","AP3D1"
"branch_common_increasing","LTBP3"
"branch_common_increasing","JDP2"
"branch_common_increasing","GSR"
"branch_common_increasing","PDIA5"
"branch_common_increasing","UROD"
"branch_common_increasing","BTN3A2"
"branch_common_increasing","GRIN2D"
"branch_common_increasing","FMO1"
"branch_common_increasing","ITGB1BP1"
"branch_common_increasing","NDST1"
"branch_common_increasing","CHPF2"
"branch_common_increasing","GLT8D2"
"branch_common_increasing","SEMA3C"
"branch_common_increasing","PLEKHA4"
"branch_common_increasing","MINOS1-NBL1"
"branch_common_increasing","ZEB1"
"branch_common_increasing","ERCC1"
"branch_common_increasing","MEIS3"
"branch_common_increasing","MYLK"
"branch_common_increasing","CD82"
"branch_common_increasing","PLXNB2"
"branch_common_increasing","PLOD2"
"branch_common_increasing","ARHGAP28"
"branch_common_increasing","RAD51B"
"branch_common_increasing","CTSC"
"branch_common_increasing","TNFRSF1A"
"branch_common_increasing","GALNT2"
"branch_common_increasing","PAPSS2"
"branch_common_increasing","DAPK3"
"branch_common_increasing","CXXC5"
"branch_common_increasing","CTTN"
"branch_common_increasing","METRNL"
"branch_common_increasing","FUT11"
"branch_common_increasing","DNPH1"
"branch_common_increasing","ST3GAL2"
"branch_common_increasing","TMEM219"
"branch_common_increasing","C7orf73"
"branch_common_increasing","S100A13"
"branch_common_increasing","CAPZB"
"branch_common_increasing","ERI3"
"branch_common_increasing","PDE4DIP"
"branch_common_increasing","GALNT10"
"branch_common_increasing","B4GALT1"
"branch_common_increasing","THBS3"
"branch_common_increasing","VGLL3"
"branch_common_increasing","TRIOBP"
"branch_common_increasing","THBS1"
"branch_common_increasing","EPHB3"
"branch_common_increasing","C11orf96"
"branch_common_increasing","PXDN"
"branch_common_increasing","VOPP1"
"branch_common_increasing","ALDH1L2"
"branch_common_increasing","TNFSF10"
"branch_common_increasing","HEXA"
"branch_common_increasing","SEMA3B"
"branch_common_increasing","SPARCL1"
"branch_common_increasing","LASP1"
"branch_common_increasing","CTGF"
"branch_common_increasing","CCDC28B"
"branch_common_increasing","GRN"
"branch_common_increasing","FLNA"
"branch_common_increasing","COPG1"
"branch_common_increasing","LAMB2"
"branch_common_increasing","SHC1"
"branch_common_increasing","ISLR"
"branch_common_increasing","MYO1D"
"branch_common_increasing","NEK6"
"branch_common_increasing","TMEM176B"
"branch_common_increasing","MLEC"
"branch_common_increasing","EDIL3"
"branch_common_increasing","LINC01116"
"branch_common_increasing","NXN"
"branch_common_increasing","PTN"
"branch_common_increasing","TPM4"
"branch_common_increasing","SMCO4"
"branch_common_increasing","VAMP5"
"branch_common_increasing","CTSZ"
"branch_common_increasing","FIBIN"
"branch_common_increasing","DNAJC1"
"branch_common_increasing","ZFHX4"
"branch_common_increasing","NEK10"
"branch_common_increasing","SGCD"
"branch_common_increasing","MSRB3"
"branch_common_increasing","APOL2"
"branch_common_increasing","MAP4"
"branch_common_increasing","CAMK1D"
"branch_common_increasing","SH3PXD2A"
"branch_common_increasing","LAMC1"
"branch_common_increasing","MYH9"
"branch_common_increasing","PLPP4"
"branch_common_increasing","SEC24D"
"branch_common_increasing","ILK"
"branch_common_increasing","AHR"
"branch_common_increasing","RYR2"
"branch_common_increasing","NGFR"
"branch_common_increasing","CCDC107"
"branch_common_increasing","AQP1"
"branch_common_increasing","CYR61"
"branch_common_increasing","SMTN"
"branch_common_increasing","DAP"
"branch_common_increasing","PHLDA3"
"branch_common_increasing","GARS"
"branch_common_increasing","CGREF1"
"branch_common_increasing","IDH2"
"branch_common_increasing","ERLEC1"
"branch_common_increasing","C1QTNF3"
"branch_common_increasing","SDF4"
"branch_common_increasing","ZCCHC24"
"branch_common_increasing","GMPPA"
"branch_common_increasing","ALDH18A1"
"branch_common_increasing","IGFBP6"
"branch_common_increasing","ENAH"
"branch_common_increasing","CD99"
"branch_common_increasing","CALU"
"branch_common_increasing","TMEM176A"
"branch_common_increasing","CYBA"
"branch_common_increasing","CSRP2"
"branch_common_increasing","VEGFB"
"branch_common_increasing","TUBA1C"
"branch_common_increasing","KIAA1462"
"branch_common_increasing","ACKR1"
"branch_common_increasing","PACS1"
"branch_common_increasing","FBLN7"
"branch_common_increasing","RTEL1-TNFRSF6B"
"branch_common_increasing","FKBP7"
"branch_common_increasing","S100A7"
"branch_common_increasing","COTL1"
"branch_common_increasing","HLA-DRB1"
"branch_common_increasing","SIL1"
"branch_common_increasing","IL1R1"
"branch_common_increasing","S100A16"
"branch_common_increasing","LMCD1"
"branch_common_increasing","KHDRBS3"
"branch_common_increasing","GALNS"
"branch_common_increasing","ADAMTS12"
"branch_common_increasing","SAR1A"
"branch_common_increasing","ARF4"
"branch_common_increasing","ARFGAP1"
"branch_common_increasing","GPR78"
"branch_common_increasing","ITGBL1"
"branch_common_increasing","XG"
"branch_common_increasing","CDKN2A"
"branch_common_increasing","LAMA4"
"branch_common_increasing","LGMN"
"branch_common_increasing","CTSA"
"branch_common_increasing","SCO2"
"branch_common_increasing","CCL14"
"branch_common_increasing","SEC61A1"
"branch_common_increasing","FMOD"
"branch_common_increasing","AKR1A1"
"branch_common_increasing","ANXA6"
"branch_common_increasing","IFITM3"
"branch_common_increasing","FARP1"
"branch_common_increasing","HMCN1"
"branch_common_increasing","PARVB"
"branch_common_increasing","RP11-25H12.1"
"branch_common_increasing","LOX"
"branch_common_increasing","TUBB2A"
"branch_common_increasing","PLTP"
"branch_common_increasing","C1S"
"branch_common_increasing","TGFB3"
"branch_common_increasing","CRABP2"
"branch_common_increasing","NID2"
"branch_common_increasing","HTRA1"
"branch_common_increasing","FLNC"
"branch_common_increasing","MXRA7"
"branch_common_increasing","CLEC11A"
"branch_common_increasing","ROR2"
"branch_common_increasing","RP11-14N7.2"
"branch_common_increasing","S100A9"
"branch_common_increasing","SNX8"
"branch_common_increasing","ECM1"
"branch_common_increasing","HIC1"
"branch_common_increasing","EPHB2"
"branch_common_increasing","GLIPR2"
"branch_common_increasing","EVL"
"branch_common_increasing","TMEM214"
"branch_common_increasing","CYB561"
"branch_common_increasing","MAGED1"
"branch_common_increasing","HM13"
"branch_common_increasing","FNDC1"
"branch_common_increasing","C11orf24"
"branch_common_increasing","HTRA3"
"branch_common_increasing","NT5DC2"
"branch_common_increasing","PLAU"
"branch_common_increasing","NAGK"
"branch_common_increasing","SPATS2L"
"branch_common_increasing","FKBP9"
"branch_common_increasing","PLOD1"
"branch_common_increasing","SEMA6B"
"branch_common_increasing","TXNDC5"
"branch_common_increasing","P4HB"
"branch_common_increasing","CUEDC1"
"branch_common_increasing","SLC38A10"
"branch_common_increasing","POLD4"
"branch_common_increasing","CISD1"
"branch_common_increasing","TTYH3"
"branch_common_increasing","DAB2"
"branch_common_increasing","OLFML3"
"branch_common_increasing","HDLBP"
"branch_common_increasing","KDELR2"
"branch_common_increasing","PLIN3"
"branch_common_increasing","IFI27"
"branch_common_increasing","BACE2"
"branch_common_increasing","ANGPTL2"
"branch_common_increasing","TMED3"
"branch_common_increasing","TGFBI"
"branch_common_increasing","ABI3BP"
"branch_common_increasing","SORCS2"
"branch_common_increasing","TPM1"
"branch_common_increasing","HMCN2"
"branch_common_increasing","MYOF"
"branch_common_increasing","PDGFRL"
"branch_common_increasing","SEC13"
"branch_common_increasing","RUNX1"
"branch_common_increasing","PLXDC2"
"branch_common_increasing","LRP1"
"branch_common_increasing","ADAMTS14"
"branch_common_increasing","FKBP14"
"branch_common_increasing","ATOX1"
"branch_common_increasing","NME4"
"branch_common_increasing","CD151"
"branch_common_increasing","CTSB"
"branch_common_increasing","MVP"
"branch_common_increasing","MAP4K4"
"branch_common_increasing","C1R"
"branch_common_increasing","FAM20C"
"branch_common_increasing","GPX8"
"branch_common_increasing","RCN1"
"branch_common_increasing","INAFM1"
"branch_common_increasing","PRDX4"
"branch_common_increasing","S100A8"
"branch_common_increasing","FBLN1"
"branch_common_increasing","TMEM119"
"branch_common_increasing","MIR99AHG"
"branch_common_increasing","EHD2"
"branch_common_increasing","LRRC32"
"branch_common_increasing","ISG15"
"branch_common_increasing","CADM1"
"branch_common_increasing","FAM114A1"
"branch_common_increasing","PDXK"
"branch_common_increasing","CTSK"
"branch_common_increasing","PHPT1"
"branch_common_increasing","KDELR3"
"branch_common_increasing","SSC5D"
"branch_common_increasing","ARHGAP1"
"branch_common_increasing","HEG1"
"branch_common_increasing","TNFRSF12A"
"branch_common_increasing","DPT"
"branch_common_increasing","ITGA11"
"branch_common_increasing","PIEZO2"
"branch_common_increasing","B4GALT2"
"branch_common_increasing","TYMP"
"branch_common_increasing","CD74"
"branch_common_increasing","HLA-DRA"
"branch_common_increasing","EFEMP2"
"branch_common_increasing","PALLD"
"branch_common_increasing","CST3"
"branch_common_increasing","C1orf122"
"branch_common_increasing","GAS6"
"branch_common_increasing","ZMAT3"
"branch_common_increasing","LIMA1"
"branch_common_increasing","PDLIM7"
"branch_common_increasing","PDLIM2"
"branch_common_increasing","MYDGF"
"branch_common_increasing","CILP2"
"branch_common_increasing","GUCY1A3"
"branch_common_increasing","BNC2"
"branch_common_increasing","COL18A1"
"branch_common_increasing","LGALS3BP"
"branch_common_increasing","TMSB10"
"branch_common_increasing","S100A11"
"branch_common_increasing","C1QTNF5"
"branch_common_increasing","FSTL1"
"branch_common_increasing","OGN"
"branch_common_increasing","THBS4"
"branch_common_increasing","GOLM1"
"branch_common_increasing","P3H3"
"branch_common_increasing","HCFC1R1"
"branch_common_increasing","ARPC1B"
"branch_common_increasing","FKBP11"
"branch_common_increasing","CCDC80"
"branch_common_increasing","AK1"
"branch_common_increasing","C1QTNF6"
"branch_common_increasing","PODN"
"branch_common_increasing","ACTA2"
"branch_common_increasing","CKAP4"
"branch_common_increasing","SULF1"
"branch_common_increasing","ZNF469"
"branch_common_increasing","P3H1"
"branch_common_increasing","MIR4435-2HG"
"branch_common_increasing","FAP"
"branch_common_increasing","TSHZ2"
"branch_common_increasing","COL11A1"
"branch_common_increasing","VKORC1"
"branch_common_increasing","SMOC2"
"branch_common_increasing","CHPF"
"branch_common_increasing","NBL1"
"branch_common_increasing","COL12A1"
"branch_common_increasing","FKBP10"
"branch_common_increasing","SULF2"
"branch_common_increasing","COL16A1"
"branch_common_increasing","MMP2"
"branch_common_increasing","SERF2"
"branch_common_increasing","MXRA5"
"branch_common_increasing","P4HA2"
"branch_common_increasing","NREP"
"branch_common_increasing","PYCR1"
"branch_common_increasing","EMILIN1"
"branch_common_increasing","MYL9"
"branch_common_increasing","RARRES2"
"branch_common_increasing","LINC00152"
"branch_common_increasing","P3H4"
"branch_common_increasing","PPIB"
"branch_common_increasing","VCAN"
"branch_common_increasing","CPXM1"
"branch_common_increasing","IGFBP4"
"branch_common_increasing","ARMC9"
"branch_common_increasing","SERPINF1"
"branch_common_increasing","COPZ2"
"branch_common_increasing","PPIC"
"branch_common_increasing","FOXP1"
"branch_common_increasing","OLFML2B"
"branch_common_increasing","LRRC15"
"branch_common_increasing","ASPN"
"branch_common_increasing","COL5A3"
"branch_common_increasing","SFRP4"
"branch_common_increasing","SEPT11"
"branch_common_increasing","BASP1"
"branch_common_increasing","NNMT"
"branch_common_increasing","MARCKS"
"branch_common_increasing","HSPG2"
"branch_common_increasing","TIMP1"
"branch_common_increasing","ARL4C"
"branch_common_increasing","AEBP1"
"branch_common_increasing","WISP2"
"branch_common_increasing","TAGLN"
"branch_common_increasing","BMP1"
"branch_common_increasing","COL8A1"
"branch_common_increasing","THBS2"
"branch_common_increasing","FBN1"
"branch_common_increasing","MRC2"
"branch_common_increasing","COL6A1"
"branch_common_increasing","CTHRC1"
"branch_common_increasing","PCOLCE"
"branch_common_increasing","COL14A1"
"branch_common_increasing","ADAMTS2"
"branch_common_increasing","COMP"
"branch_common_increasing","IGFBP7"
"branch_common_increasing","COL6A3"
"branch_common_increasing","RCN3"
"branch_common_increasing","POSTN"
"branch_common_increasing","ADAM12"
"branch_common_increasing","COL6A2"
"branch_common_increasing","MDK"
"branch_common_increasing","CREB3L1"
"branch_common_increasing","CERCAM"
"branch_common_increasing","GXYLT2"
"branch_common_increasing","SERPINH1"
"branch_common_increasing","THY1"
"branch_common_increasing","FN1"
"branch_common_increasing","SFRP2"
"branch_common_increasing","COL5A2"
"branch_common_increasing","COL3A1"
"branch_common_increasing","COL5A1"
"branch_common_increasing","COL1A2"
"branch_common_increasing","SPARC"
"branch_common_increasing","COL1A1"
"branch_mixed_remodeling_branch_biased","ROBO2"
"branch_mixed_remodeling_branch_biased","ZDHHC14"
"branch_mixed_remodeling_branch_biased","PREX2"
"branch_mixed_remodeling_branch_biased","PLEKHH2"
"branch_mixed_remodeling_branch_biased","ITGA8"
"branch_mixed_remodeling_branch_biased","TMEM258"
"branch_mixed_remodeling_branch_biased","POLDIP2"
"branch_mixed_remodeling_branch_biased","PLXNA3"
"branch_mixed_remodeling_branch_biased","RAB24"
"branch_mixed_remodeling_branch_biased","MARVELD1"
"branch_mixed_remodeling_branch_biased","CMKLR1"
"branch_mixed_remodeling_branch_biased","PTPMT1"
"branch_mixed_remodeling_branch_biased","RNF11"
"branch_mixed_remodeling_branch_biased","C6orf1"
"branch_mixed_remodeling_branch_biased","SSNA1"
"branch_mixed_remodeling_branch_biased","PSMC4"
"branch_mixed_remodeling_branch_biased","NPC2"
"branch_mixed_remodeling_branch_biased","SAT2"
"branch_mixed_remodeling_branch_biased","NDUFB11"
"branch_mixed_remodeling_branch_biased","DCHS1"
"branch_mixed_remodeling_branch_biased","NDUFA4"
"branch_mixed_remodeling_branch_biased","ACTN1"
"branch_mixed_remodeling_branch_biased","RAB1B"
"branch_mixed_remodeling_branch_biased","HIGD2A"
"branch_mixed_remodeling_branch_biased","TMEM160"
"branch_mixed_remodeling_branch_biased","ILVBL"
"branch_mixed_remodeling_branch_biased","TMEM9"
"branch_mixed_remodeling_branch_biased","RIC8A"
"branch_mixed_remodeling_branch_biased","COX7B"
"branch_mixed_remodeling_branch_biased","YIPF3"
"branch_mixed_remodeling_branch_biased","TEN1"
"branch_mixed_remodeling_branch_biased","FASTK"
"branch_mixed_remodeling_branch_biased","FAM162A"
"branch_mixed_remodeling_branch_biased","TSR3"
"branch_mixed_remodeling_branch_biased","GORASP2"
"branch_mixed_remodeling_branch_biased","ECH1"
"branch_mixed_remodeling_branch_biased","GSTO1"
"branch_mixed_remodeling_branch_biased","PRMT2"
"branch_mixed_remodeling_branch_biased","SUB1"
"branch_mixed_remodeling_branch_biased","ANXA2"
"branch_mixed_remodeling_branch_biased","CREB3"
"branch_mixed_remodeling_branch_biased","PLP2"
"branch_mixed_remodeling_branch_biased","ALDOA"
"branch_mixed_remodeling_branch_biased","CCDC92"
"branch_mixed_remodeling_branch_biased","IFITM1"
"branch_mixed_remodeling_branch_biased","SCAND1"
"branch_mixed_remodeling_branch_biased","CD68"
"branch_mixed_remodeling_branch_biased","NKIRAS2"
"branch_mixed_remodeling_branch_biased","NRP2"
"branch_mixed_remodeling_branch_biased","C4orf3"
"branch_mixed_remodeling_branch_biased","RBCK1"
"branch_mixed_remodeling_branch_biased","PKM"
"branch_mixed_remodeling_branch_biased","MAGOHB"
"branch_mixed_remodeling_branch_biased","MAP2K2"
"branch_mixed_remodeling_branch_biased","ORMDL3"
"branch_mixed_remodeling_branch_biased","CDIPT"
"branch_mixed_remodeling_branch_biased","AGPAT1"
"branch_mixed_remodeling_branch_biased","CFL1"
"branch_mixed_remodeling_branch_biased","PACS2"
"branch_mixed_remodeling_branch_biased","GJA1"
"branch_mixed_remodeling_branch_biased","KDELR1"
"branch_mixed_remodeling_branch_biased","ZNF593"
"branch_mixed_remodeling_branch_biased","CORO1C"
"branch_mixed_remodeling_branch_biased","RTN4RL2"
"branch_mixed_remodeling_branch_biased","PSME2"
"branch_mixed_remodeling_branch_biased","AKR1B1"
"branch_mixed_remodeling_branch_biased","CYSTM1"
"branch_mixed_remodeling_branch_biased","SNX3"
"branch_mixed_remodeling_branch_biased","BCL7C"
"branch_mixed_remodeling_branch_biased","PODNL1"
"branch_mixed_remodeling_branch_biased","GALNT15"
"branch_mixed_remodeling_branch_biased","PPP1R14B"
"branch_mixed_remodeling_branch_biased","HOXB7"
"branch_mixed_remodeling_branch_biased","ANXA5"
"branch_mixed_remodeling_branch_biased","ATP5J2"
"branch_mixed_remodeling_branch_biased","CAPNS1"
"branch_mixed_remodeling_branch_biased","ATP5G3"
"branch_mixed_remodeling_branch_biased","MBOAT7"
"branch_mixed_remodeling_branch_biased","WDR45"
"branch_mixed_remodeling_branch_biased","SLC35A4"
"branch_mixed_remodeling_branch_biased","TES"
"branch_mixed_remodeling_branch_biased","C11orf98"
"branch_mixed_remodeling_branch_biased","PDIA6"
"branch_mixed_remodeling_branch_biased","NDUFS7"
"branch_mixed_remodeling_branch_biased","POP7"
"branch_mixed_remodeling_branch_biased","POLE4"
"branch_mixed_remodeling_branch_biased","PREB"
"branch_mixed_remodeling_branch_biased","MPC2"
"branch_mixed_remodeling_branch_biased","MIEN1"
"branch_mixed_remodeling_branch_biased","CA12"
"branch_mixed_remodeling_branch_biased","COX14"
"branch_mixed_remodeling_branch_biased","MINOS1"
"branch_mixed_remodeling_branch_biased","NTMT1"
"branch_mixed_remodeling_branch_biased","GAPDH"
"branch_mixed_remodeling_branch_biased","GADD45GIP1"
"branch_mixed_remodeling_branch_biased","FIS1"
"branch_mixed_remodeling_branch_biased","ASNA1"
"branch_mixed_remodeling_branch_biased","MAPKAPK2"
"branch_mixed_remodeling_branch_biased","PCNXL3"
"branch_mixed_remodeling_branch_biased","MEA1"
"branch_mixed_remodeling_branch_biased","TMEM98"
"branch_mixed_remodeling_branch_biased","DCTN1"
"branch_mixed_remodeling_branch_biased","APOL1"
"branch_mixed_remodeling_branch_biased","SMPD1"
"branch_mixed_remodeling_branch_biased","RPN1"
"branch_mixed_remodeling_branch_biased","FRZB"
"branch_mixed_remodeling_branch_biased","CYC1"
"branch_mixed_remodeling_branch_biased","DGCR6L"
"branch_mixed_remodeling_branch_biased","R3HDM4"
"branch_mixed_remodeling_branch_biased","LSM7"
"branch_mixed_remodeling_branch_biased","CARM1"
"branch_mixed_remodeling_branch_biased","SLC25A5"
"branch_mixed_remodeling_branch_biased","CHMP1A"
"branch_mixed_remodeling_branch_biased","ABHD17A"
"branch_mixed_remodeling_branch_biased","COX7A1"
"branch_mixed_remodeling_branch_biased","AURKAIP1"
"branch_mixed_remodeling_branch_biased","SLC31A1"
"branch_mixed_remodeling_branch_biased","ARFGAP3"
"branch_mixed_remodeling_branch_biased","NME3"
"branch_mixed_remodeling_branch_biased","UFC1"
"branch_mixed_remodeling_branch_biased","NDUFA2"
"branch_mixed_remodeling_branch_biased","FSCN1"
"branch_mixed_remodeling_branch_biased","PCED1A"
"branch_mixed_remodeling_branch_biased","BLOC1S1"
"branch_mixed_remodeling_branch_biased","COL8A2"
"branch_mixed_remodeling_branch_biased","LZTS1"
"branch_mixed_remodeling_branch_biased","LSP1"
"branch_mixed_remodeling_branch_biased","KIF1C"
"branch_mixed_remodeling_branch_biased","CMTM3"
"branch_mixed_remodeling_branch_biased","WDR46"
"branch_mixed_remodeling_branch_biased","EFHD2"
"branch_mixed_remodeling_branch_biased","MGP"
"branch_mixed_remodeling_branch_biased","XPOT"
"branch_mixed_remodeling_branch_biased","PKIG"
"branch_mixed_remodeling_branch_biased","BCL3"
"branch_mixed_remodeling_branch_biased","ARHGDIA"
"branch_mixed_remodeling_branch_biased","ZNF428"
"branch_mixed_remodeling_branch_biased","LOXL2"
"branch_mixed_remodeling_branch_biased","UQCR10"
"branch_mixed_remodeling_branch_biased","RAB7B"
"branch_mixed_remodeling_branch_biased","RABAC1"
"branch_mixed_remodeling_branch_biased","DPM3"
"branch_mixed_remodeling_branch_biased","CSTB"
"branch_mixed_remodeling_branch_biased","TMUB1"
"branch_mixed_remodeling_branch_biased","PSMB9"
"branch_mixed_remodeling_branch_biased","AP1S1"
"branch_mixed_remodeling_branch_biased","MYL6"
"branch_mixed_remodeling_branch_biased","LIMK1"
"branch_mixed_remodeling_branch_biased","GBP2"
"branch_mixed_remodeling_branch_biased","AMPD2"
"branch_mixed_remodeling_branch_biased","BEST1"
"branch_mixed_remodeling_branch_biased","CUEDC2"
"branch_mixed_remodeling_branch_biased","ILF2"
"branch_mixed_remodeling_branch_biased","TUBA1B"
"branch_mixed_remodeling_branch_biased","SAC3D1"
"branch_mixed_remodeling_branch_biased","GDI2"
"branch_mixed_remodeling_branch_biased","DCTD"
"branch_mixed_remodeling_branch_biased","FAM127A"
"branch_mixed_remodeling_branch_biased","RPN2"
"branch_mixed_remodeling_branch_biased","ATP5E"
"branch_mixed_remodeling_branch_biased","CDC42EP1"
"branch_mixed_remodeling_branch_biased","PUF60"
"branch_mixed_remodeling_branch_biased","INPPL1"
"branch_mixed_remodeling_branch_biased","MYL6B"
"branch_mixed_remodeling_branch_biased","PKN1"
"branch_mixed_remodeling_branch_biased","LTBP2"
"branch_mixed_remodeling_branch_biased","NOP10"
"branch_mixed_remodeling_branch_biased","RAB11FIP5"
"branch_mixed_remodeling_branch_biased","OXLD1"
"branch_mixed_remodeling_branch_biased","DNM3OS"
"branch_mixed_remodeling_branch_biased","XXYLT1"
"branch_mixed_remodeling_branch_biased","GCN1"
"branch_mixed_remodeling_branch_biased","FAAP100"
"branch_mixed_remodeling_branch_biased","CCL27"
"branch_mixed_remodeling_branch_biased","CAPG"
"branch_mixed_remodeling_branch_biased","MYC"
"branch_mixed_remodeling_branch_biased","MDFI"
"branch_mixed_remodeling_branch_biased","B4GALT7"
"branch_mixed_remodeling_branch_biased","PSMD8"
"branch_mixed_remodeling_branch_biased","IMP4"
"branch_mixed_remodeling_branch_biased","APRT"
"branch_mixed_remodeling_branch_biased","PTGES2"
"branch_mixed_remodeling_branch_biased","ANO1"
"branch_mixed_remodeling_branch_biased","SEC61B"
"branch_mixed_remodeling_branch_biased","POLR2G"
"branch_mixed_remodeling_branch_biased","TIMM13"
"branch_mixed_remodeling_branch_biased","TMED2"
"branch_mixed_remodeling_branch_biased","MMP14"
"branch_mixed_remodeling_branch_biased","UBA1"
"branch_mixed_remodeling_branch_biased","APLNR"
"branch_mixed_remodeling_branch_biased","DGKZ"
"branch_mixed_remodeling_branch_biased","PRELID1"
"branch_mixed_remodeling_branch_biased","SIRT2"
"branch_mixed_remodeling_branch_biased","BAX"
"branch_mixed_remodeling_branch_biased","PLEKHO1"
"branch_mixed_remodeling_branch_biased","TSPAN4"
"branch_mixed_remodeling_branch_biased","TCEB2"
"branch_mixed_remodeling_branch_biased","ATP8B2"
"branch_mixed_remodeling_branch_biased","ATP6V0E1"
"branch_mixed_remodeling_branch_biased","SPOP"
"branch_mixed_remodeling_branch_biased","DUSP23"
"branch_mixed_remodeling_branch_biased","SLC3A2"
"branch_mixed_remodeling_branch_biased","COMMD7"
"branch_mixed_remodeling_branch_biased","UBTD1"
"branch_mixed_remodeling_branch_biased","SPNS1"
"branch_mixed_remodeling_branch_biased","PIGP"
"branch_mixed_remodeling_branch_biased","DDT"
"branch_mixed_remodeling_branch_biased","CPNE1"
"branch_mixed_remodeling_branch_biased","NDUFA13"
"branch_mixed_remodeling_branch_biased","MXD4"
"branch_mixed_remodeling_branch_biased","PPP2R1A"
"branch_mixed_remodeling_branch_biased","ACAN"
"branch_mixed_remodeling_branch_biased","STARD10"
"branch_mixed_remodeling_branch_biased","TCEAL8"
"branch_mixed_remodeling_branch_biased","NUDT22"
"branch_mixed_remodeling_branch_biased","TACSTD2"
"branch_mixed_remodeling_branch_biased","GOLGA2"
"branch_mixed_remodeling_branch_biased","HSD3B7"
"branch_mixed_remodeling_branch_biased","TAX1BP3"
"branch_mixed_remodeling_branch_biased","GLRX"
"branch_mixed_remodeling_branch_biased","FAM96B"
"branch_mixed_remodeling_branch_biased","MFSD12"
"branch_mixed_remodeling_branch_biased","FKBP1A"
"branch_mixed_remodeling_branch_biased","NCLN"
"branch_mixed_remodeling_branch_biased","NTM"
"branch_mixed_remodeling_branch_biased","FAM173A"
"branch_mixed_remodeling_branch_biased","TMEM141"
"branch_mixed_remodeling_branch_biased","RNF181"
"branch_mixed_remodeling_branch_biased","CTD-3214H19.16"
"branch_mixed_remodeling_branch_biased","YIPF5"
"branch_mixed_remodeling_branch_biased","APOBEC3C"
"branch_mixed_remodeling_branch_biased","PSMB3"
"branch_mixed_remodeling_branch_biased","C1orf54"
"branch_mixed_remodeling_branch_biased","FAM57A"
"branch_mixed_remodeling_branch_biased","NUDT2"
