"program","aligned_module","metacells_n","represented_donors_n","full_metacell_rho_descriptive","donor_equal_rho","donor_equal_lodo_min_rho","donor_equal_lodo_median_rho","donor_equal_lodo_positive_fraction","donor_equal_cluster_bootstrap_median","donor_equal_cluster_bootstrap_q025","donor_equal_cluster_bootstrap_q975","donor_equal_cluster_bootstrap_positive_fraction"
"clean_D1","brown",42,5,0.948140345190827,0.933004436349954,0.89858838034495,0.935430437683562,1,0.920697951234185,0.848512901651209,0.965980223169736,1
"clean_D2","turquoise",42,5,0.918969289360668,0.914568970550666,0.907843814584572,0.912308954611706,1,0.914568970550666,0.708317685250677,0.978907738365236,0.9975
