"module","trait","full_metacell_rho_descriptive","donor_equal_rho","donor_equal_lodo_median_rho","donor_equal_lodo_min_abs_rho","donor_equal_lodo_sign_consistent"
"turquoise","mean_pseudotime",0.678794263025687,0.686604759635362,0.656735420497396,0.653850061204257,TRUE
"turquoise","clean_D1",-0.708289441698404,-0.668636443621948,-0.719809122119758,0.509396823076385,TRUE
"turquoise","clean_D2",0.918969289360668,0.914568970550666,0.912308954611706,0.907843814584572,TRUE
"green","mean_pseudotime",0.837776517300057,0.866913257856439,0.846668258481958,0.812546118799299,TRUE
"green","clean_D1",-0.889798233530508,-0.888165497823765,-0.871278683634741,0.834548491590137,TRUE
"green","clean_D2",0.913459201037193,0.89792094768419,0.892607420943921,0.823976462972475,TRUE
"pink","mean_pseudotime",0.884450206628312,0.887910132205254,0.874265548183276,0.838888144910536,TRUE
"pink","clean_D1",-0.775869054371607,-0.820466709847347,-0.798962118047444,0.7252953704489,TRUE
"pink","clean_D2",0.801636820354914,0.78155695757815,0.755155322884233,0.640569422354914,TRUE
"yellow","mean_pseudotime",-0.505064419414958,-0.411688475452985,-0.468504938170694,0.0203538402008508,TRUE
"yellow","clean_D1",0.591119034113929,0.535858784607038,0.521254271413933,0.250723374824198,TRUE
"yellow","clean_D2",-0.38108743213678,-0.27941801552426,-0.33031121447327,0.241977184949989,FALSE
"black","mean_pseudotime",0.203306052994085,0.0853624341328463,0.143620763053435,0.112294472202099,FALSE
"black","clean_D1",0.0671744591200065,0.0898874213172856,0.040760409153033,0.0218281240107441,FALSE
"black","clean_D2",0.171379953002188,0.109193958988795,0.14972968670063,0.110826525938874,FALSE
"magenta","mean_pseudotime",-0.244145531156308,-0.365032858081146,-0.278446246185931,0.0438214244631778,TRUE
"magenta","clean_D1",0.529373632606758,0.513679085983208,0.470438600228596,0.0467000737783638,TRUE
"magenta","clean_D2",-0.335386111336196,-0.365401894292092,-0.321714603368351,0.0168492546180785,FALSE
"blue","mean_pseudotime",-0.187586095130054,-0.198766876413476,-0.1634191809053,0.0924275049012305,FALSE
"blue","clean_D1",0.56194797828377,0.415256480948507,0.421965234527126,0.150452736237826,FALSE
"blue","clean_D2",-0.420792480350053,-0.420420544483175,-0.377536509146555,0.0939367012606502,FALSE
"brown","mean_pseudotime",-0.723361153877319,-0.771220398310425,-0.745994880888765,0.641889423501033,TRUE
"brown","clean_D1",0.948140345190827,0.933004436349954,0.935430437683562,0.89858838034495,TRUE
"brown","clean_D2",-0.775869054371607,-0.769030488860303,-0.763058900424694,0.625808137500575,TRUE
"red","mean_pseudotime",-0.541366177781379,-0.627173082550222,-0.589000684162876,0.56836284266037,TRUE
"red","clean_D1",0.85317235232153,0.816897258145714,0.827477658203246,0.682932223969469,TRUE
"red","clean_D2",-0.780892958431246,-0.80426341044796,-0.784644669025935,0.681597604888132,TRUE
