"gene","discovery_detection_fraction","discovery_detection_eligible","metacell_variance","selected_top_variable","clean_program"
"AGRN",0.0803738317757009,TRUE,0.00168688104826973,FALSE,NA
"RNF223",0,FALSE,NA,FALSE,NA
"C1orf159",0.0289719626168224,FALSE,NA,FALSE,NA
"CPSF3L",0.15607476635514,TRUE,0.00252456167900623,FALSE,NA
"LINC01342",0,FALSE,NA,FALSE,NA
"AURKAIP1",0.448598130841121,TRUE,0.0155108476989851,TRUE,"clean_D2"
"RP11-465B22.8",0.000934579439252336,FALSE,NA,FALSE,NA
"TTLL10",0,FALSE,NA,FALSE,NA
"MRPL20",0.473831775700935,TRUE,0.0117887256625702,TRUE,NA
"B3GALT6",0.131775700934579,TRUE,0.00225025355089945,FALSE,NA
"CCNL2",0.158878504672897,TRUE,0.00591207367929418,TRUE,NA
"ATAD3A",0.0869158878504673,TRUE,0.00176142896744214,FALSE,NA
"FAM132A",0.0102803738317757,FALSE,NA,FALSE,NA
"RP5-902P8.12",0,FALSE,NA,FALSE,NA
"UBE2J2",0.209345794392523,TRUE,0.00509167906656671,FALSE,NA
"SSU72",0.317757009345794,TRUE,0.00676548331385486,TRUE,NA
"RP5-902P8.10",0.00280373831775701,FALSE,NA,FALSE,NA
"SCNN1D",0.0102803738317757,FALSE,NA,FALSE,NA
"VWA1",0.0738317757009346,TRUE,0.00175032249573899,FALSE,NA
"MXRA8",0.655140186915888,TRUE,0.0292891323331002,TRUE,NA
"PUSL1",0.0794392523364486,TRUE,0.00177544956683643,FALSE,NA
"CPTP",0.0570093457943925,TRUE,0.000734639445724195,FALSE,NA
"DVL1",0.126168224299065,TRUE,0.00279993824498456,FALSE,NA
"SLC35E2B",0.0934579439252336,TRUE,0.00241893523305232,FALSE,NA
"ANKRD65",0.100934579439252,TRUE,0.00193360113423892,FALSE,NA
"GNB1",0.485981308411215,TRUE,0.0154912795217351,TRUE,NA
"NADK",0.0252336448598131,FALSE,NA,FALSE,NA
"SLC35E2",0.085981308411215,TRUE,0.00198596679337717,FALSE,NA
"CDK11B",0.119626168224299,TRUE,0.00285742498082195,FALSE,NA
"CDK11A",0.0429906542056075,FALSE,NA,FALSE,NA
"MMP23B",0.0719626168224299,TRUE,0.0010378360226263,FALSE,NA
"RP4-758J18.13",0.00186915887850467,FALSE,NA,FALSE,NA
"RP4-758J18.7",0,FALSE,NA,FALSE,NA
"RP4-758J18.10",0,FALSE,NA,FALSE,NA
"ATAD3B",0.0626168224299065,TRUE,0.00132617877937027,FALSE,NA
"C1orf233",0.0906542056074766,TRUE,0.00234684990051285,FALSE,NA
"RP11-345P4.9",0.0205607476635514,FALSE,NA,FALSE,NA
"ATAD3C",0.00373831775700935,FALSE,NA,FALSE,NA
"TMEM240",0.00934579439252336,FALSE,NA,FALSE,NA
"MIB2",0.100934579439252,TRUE,0.00277049807225613,FALSE,NA
"RP5-832C2.5",0.00934579439252336,FALSE,NA,FALSE,NA
"RP11-345P4.10",0.00280373831775701,FALSE,NA,FALSE,NA
"RP11-345P4.7",0.00186915887850467,FALSE,NA,FALSE,NA
"CFAP74",0.00186915887850467,FALSE,NA,FALSE,NA
"GABRD",0.00280373831775701,FALSE,NA,FALSE,NA
"RP1-140A9.1",0.000934579439252336,FALSE,NA,FALSE,NA
"CALML6",0.000934579439252336,FALSE,NA,FALSE,NA
"TMEM52",0.0158878504672897,FALSE,NA,FALSE,NA
"RP11-181G12.4",0.0196261682242991,FALSE,NA,FALSE,NA
"PRKCZ",0.0261682242990654,FALSE,NA,FALSE,NA
"RP11-547D24.1",0,FALSE,NA,FALSE,NA
"FAAP20",0.357009345794393,TRUE,0.0104835228635654,TRUE,"clean_D2"
"PLCH2",0.0214953271028037,FALSE,NA,FALSE,NA
"PEX10",0.0598130841121495,TRUE,0.00100508991783583,FALSE,NA
"RP5-892K4.1",0,FALSE,NA,FALSE,NA
"RP11-181G12.2",0.00467289719626168,FALSE,NA,FALSE,NA
"SKI",0.182242990654206,TRUE,0.0073855312519267,TRUE,NA
"RER1",0.388785046728972,TRUE,0.0120058091800336,TRUE,NA
"MORN1",0.0392523364485981,FALSE,NA,FALSE,NA
"RP3-395M20.3",0,FALSE,NA,FALSE,NA
"PANK4",0.0345794392523364,FALSE,NA,FALSE,NA
"HES5",0.00654205607476636,FALSE,NA,FALSE,NA
"RP3-395M20.12",0.00186915887850467,FALSE,NA,FALSE,NA
"RP3-395M20.8",0.00654205607476636,FALSE,NA,FALSE,NA
"TNFRSF14",0.0663551401869159,TRUE,0.00118058012980648,FALSE,NA
"RP3-395M20.9",0.000934579439252336,FALSE,NA,FALSE,NA
"FAM213B",0.0383177570093458,FALSE,NA,FALSE,NA
"MMEL1",0.00186915887850467,FALSE,NA,FALSE,NA
"TTC34",0,FALSE,NA,FALSE,NA
"RP11-22L13.1",0,FALSE,NA,FALSE,NA
"LINC00982",0.000934579439252336,FALSE,NA,FALSE,NA
"PRDM16",0.00560747663551402,FALSE,NA,FALSE,NA
"MEGF6",0.210280373831776,TRUE,0.0147598654134269,TRUE,NA
"ARHGEF16",0.00186915887850467,FALSE,NA,FALSE,NA
"TP73-AS1",0.0411214953271028,FALSE,NA,FALSE,NA
"TPRG1L",0.110280373831776,TRUE,0.00206401165744467,FALSE,NA
"WRAP73",0.0336448598130841,FALSE,NA,FALSE,NA
"CEP104",0.0785046728971963,TRUE,0.00194271843230022,FALSE,NA
"TP73",0.0102803738317757,FALSE,NA,FALSE,NA
"LRRC47",0.0981308411214953,TRUE,0.00135480433640848,FALSE,NA
"SMIM1",0.0186915887850467,FALSE,NA,FALSE,NA
"RP1-286D6.5",0.00186915887850467,FALSE,NA,FALSE,NA
"C1orf174",0.085981308411215,TRUE,0.00133900955721697,FALSE,NA
"DFFB",0.00841121495327103,FALSE,NA,FALSE,NA
"LINC01134",0.00186915887850467,FALSE,NA,FALSE,NA
"AJAP1",0.00467289719626168,FALSE,NA,FALSE,NA
"RP1-58B11.1",0,FALSE,NA,FALSE,NA
"RP11-154H17.1",0.00186915887850467,FALSE,NA,FALSE,NA
"NPHP4",0.0429906542056075,FALSE,NA,FALSE,NA
"KCNAB2",0.0373831775700935,FALSE,NA,FALSE,NA
"CHD5",0.00560747663551402,FALSE,NA,FALSE,NA
"APITD1",0.0196261682242991,FALSE,NA,FALSE,NA
"CORT",0,FALSE,NA,FALSE,NA
"RP5-1113E3.3",0.000934579439252336,FALSE,NA,FALSE,NA
"RP4-734G22.3",0.00654205607476636,FALSE,NA,FALSE,NA
"MTOR-AS1",0,FALSE,NA,FALSE,NA
"SRM",0.347663551401869,TRUE,0.0181142164934813,TRUE,"clean_D2"
"C1orf127",0,FALSE,NA,FALSE,NA
"MTOR",0.114018691588785,TRUE,0.00464693764830482,FALSE,NA
"EXOSC10",0.0831775700934579,TRUE,0.00232759212148819,FALSE,NA
"TARDBP",0.134579439252336,TRUE,0.00225219970077458,FALSE,NA
"RP4-635E18.9",0.00560747663551402,FALSE,NA,FALSE,NA
"MASP2",0.000934579439252336,FALSE,NA,FALSE,NA
"RP4-635E18.8",0,FALSE,NA,FALSE,NA
"RP4-635E18.7",0.00280373831775701,FALSE,NA,FALSE,NA
"RP4-635E18.6",0.00186915887850467,FALSE,NA,FALSE,NA
"ANGPTL7",0.00841121495327103,FALSE,NA,FALSE,NA
"UBIAD1",0.0775700934579439,TRUE,0.00203877971896388,FALSE,NA
"FBXO2",0.0177570093457944,FALSE,NA,FALSE,NA
"MAD2L2",0.178504672897196,TRUE,0.00335795497080369,FALSE,NA
"FBXO6",0.0654205607476635,TRUE,0.00102521050277208,FALSE,NA
"PTCHD2",0,FALSE,NA,FALSE,NA
"FBXO44",0.0747663551401869,TRUE,0.00103266370155337,FALSE,NA
"NPPA",0.000934579439252336,FALSE,NA,FALSE,NA
"KIAA2013",0.194392523364486,TRUE,0.00496057217765113,FALSE,"clean_D2"
"CLCN6",0.0570093457943925,TRUE,0.00165129975762777,FALSE,NA
"MTHFR",0.0710280373831776,TRUE,0.00246658146866615,FALSE,NA
"DRAXIN",0.0205607476635514,FALSE,NA,FALSE,NA
"AGTRAP",0.211214953271028,TRUE,0.00719453507662649,TRUE,"clean_D2"
"MIIP",0.103738317757009,TRUE,0.00208091883589504,FALSE,NA
"C1orf167",0.0149532710280374,FALSE,NA,FALSE,NA
"NPPA-AS1",0.00186915887850467,FALSE,NA,FALSE,NA
"TNFRSF8",0.00654205607476636,FALSE,NA,FALSE,NA
"PLOD1",0.385981308411215,TRUE,0.0272532712783173,TRUE,"clean_D2"
"MFN2",0.100934579439252,TRUE,0.00156782148680837,FALSE,NA
