"gene","module"
"CAMK2D","blue"
"ZNF609","blue"
"CYP1B1","turquoise"
"CTD-3214H19.16","turquoise"
"NCL","yellow"
"PLPP1","blue"
"TNFRSF1A","turquoise"
"PTCH2","magenta"
"EIF3E","yellow"
"SYNE1","red"
"TMEM219","turquoise"
"PLOD1","green"
"MYO9A","red"
"PSME1","turquoise"
"LEPROT","black"
"SPARCL1","turquoise"
"RAB31","turquoise"
"NFIA","black"
"MRPS21","turquoise"
"IER5L","brown"
"KDELR1","turquoise"
"NFIX","turquoise"
"NFKBIA","magenta"
"MAGED1","green"
"IFI16","turquoise"
"SSBP2","red"
"CAV1","black"
"KIF13A","blue"
"SDK1","blue"
"HNRNPA3","yellow"
"AMOTL1","brown"
"CUTA","turquoise"
"FAM20C","turquoise"
"KRT5","grey"
"SOD1","yellow"
"CLIC4","red"
"SEC31A","blue"
"MAGI2","blue"
"PLEKHA5","blue"
"CRTAP","turquoise"
"FABP5","grey"
"C7orf50","green"
"TUBB4B","brown"
"ETV6","blue"
"FGL2","black"
"SEMA3A","blue"
"ARL6IP5","black"
"NDUFS6","turquoise"
"PDLIM7","green"
"PI16","magenta"
"HMCN2","pink"
"ISG15","turquoise"
"NEDD8","turquoise"
"GLI2","red"
"SEMA5A","red"
"FARP1","blue"
"HSPA8","turquoise"
"PERP","turquoise"
"NDUFB7","turquoise"
"SFN","grey"
"ADAMTS6","blue"
"PREX2","brown"
"ZMAT3","green"
"LDHA","turquoise"
"ATP5G2","yellow"
"C17orf89","turquoise"
"HNRNPM","brown"
"DOCK1","blue"
"NDUFS8","turquoise"
"GNAI2","green"
"S100A9","turquoise"
"CHD9","blue"
"ASAP1","blue"
"FTO","blue"
"PHLDA1","brown"
"S100A7","turquoise"
"SBF2","blue"
"BRE","blue"
"SHFM1","yellow"
"CTBP2","red"
"EIF3F","yellow"
"GOLM1","green"
"LAMB1","blue"
"GNG5","turquoise"
"EIF1AX","yellow"
"LINC00969","blue"
"LTBP3","turquoise"
"CALM3","turquoise"
"METRN","turquoise"
"NDUFA3","turquoise"
"SSR3","turquoise"
"SEC13","turquoise"
"C4orf3","turquoise"
"COL6A5","black"
"PSMB1","turquoise"
"COMMD6","yellow"
"CADM1","pink"
"EMP1","brown"
"EIF4G3","blue"
"NDUFS5","turquoise"
"UROD","turquoise"
"MYO1E","blue"
"KHDRBS3","turquoise"
"LINC-PINT","red"
"CALM2","yellow"
"C9orf3","red"
"PRDX2","turquoise"
"UQCRB","yellow"
"VEGFB","turquoise"
"MYH9","green"
"EGR1","blue"
"ATP5L","turquoise"
"IFITM1","turquoise"
"EIF4B","brown"
"STK3","blue"
"GADD45B","brown"
"TENM4","black"
"NFIC","grey"
"PTPRK","red"
"IGF1R","red"
"H1F0","brown"
"CTGF","green"
