"gene","raw_cluster","dynamic_module","peak_bin","trough_bin","spearman_rho","q_value","expressed_fraction","mean_expression","direction"
"CPE","2","D1_early_decreasing","7","30","-0.206100949932553","1.33880357624476e-11","0.319626168224299","0.306323385301845","decreases_with_pseudotime"
"SOX18","2","D1_early_decreasing","2","11","-0.202076301516848","3.36220289811894e-11","0.153271028037383","0.163955467274551","decreases_with_pseudotime"
"PTMA","1","D2_late_increasing","27","30","-0.622799369769097","1.15044485034029e-113","0.969158878504673","2.10231817541404","decreases_with_pseudotime"
"RPL35A","1","D2_late_increasing","27","30","-0.551045348610589","3.29158670192497e-84","0.953271028037383","2.15704271395236","decreases_with_pseudotime"
"RPL34","1","D2_late_increasing","27","30","-0.514468740369404","9.87604661807311e-72","0.97196261682243","2.41327267375602","decreases_with_pseudotime"
"SLC35F1","1","D2_late_increasing","27","30","-0.511332138176131","9.96557976293125e-71","0.75981308411215","0.969225925188869","decreases_with_pseudotime"
"H3F3B","1","D2_late_increasing","27","30","-0.495855912758749","5.94973586365405e-66","0.906542056074766","1.52115147683335","decreases_with_pseudotime"
"RPL13","1","D2_late_increasing","27","30","-0.47756969282084","1.20456100750713e-60","0.994392523364486","2.85470932121699","decreases_with_pseudotime"
"RPL11","1","D2_late_increasing","27","30","-0.459169386495373","1.38774744238165e-55","0.986915887850467","2.48967105357792","decreases_with_pseudotime"
"RPS27A","1","D2_late_increasing","27","30","-0.454597796106221","2.22910303571355e-54","0.944859813084112","2.0459234614708","decreases_with_pseudotime"
"RPS13","1","D2_late_increasing","27","30","-0.445317671494405","5.5353250137792e-52","0.971028037383178","2.08820451514176","decreases_with_pseudotime"
"RPL26","1","D2_late_increasing","27","30","-0.443342470452191","1.70814288813979e-51","0.952336448598131","2.07365034889827","decreases_with_pseudotime"
"RPL37A","1","D2_late_increasing","27","30","-0.437498373779041","4.81267411665613e-50","0.988785046728972","2.72248516120316","decreases_with_pseudotime"
"RPL5","1","D2_late_increasing","27","30","-0.429406849353908","4.56575324025631e-48","0.957943925233645","1.80649408523396","decreases_with_pseudotime"
"RPL13A","1","D2_late_increasing","27","30","-0.428140765855019","9.14488256853527e-48","0.989719626168224","2.70425576315454","decreases_with_pseudotime"
"FAU","1","D2_late_increasing","27","30","-0.426130750203916","2.74401801997738e-47","0.958878504672897","1.95942823587398","decreases_with_pseudotime"
"RPL19","1","D2_late_increasing","27","30","-0.416656439792459","4.5202229835013e-45","0.972897196261682","2.35603581802454","decreases_with_pseudotime"
"RPL6","1","D2_late_increasing","27","30","-0.416482541341546","4.92580780328107e-45","0.922429906542056","1.69447164772374","decreases_with_pseudotime"
