"gene","raw_cluster","dynamic_module","peak_bin","trough_bin","spearman_rho","q_value","expressed_fraction","mean_expression","direction"
"AKR1B1","1","D2_late_increasing","28","1","0.214475831004509","1.90383479735196e-12","0.165420560747664","0.0757277008965274","increases_with_pseudotime"
"CYSTM1","1","D2_late_increasing","26","8","0.214501516716064","1.89360733354598e-12","0.249532710280374","0.158256344897144","increases_with_pseudotime"
"SNX3","1","D2_late_increasing","27","3","0.214619188678021","1.84151209570429e-12","0.378504672897196","0.260495016725659","increases_with_pseudotime"
"BCL7C","1","D2_late_increasing","28","8","0.214681588419299","1.81522481036057e-12","0.472897196261682","0.367178519533719","increases_with_pseudotime"
"PODNL1","1","D2_late_increasing","28","1","0.214769180136798","1.77829913621781e-12","0.127102803738318","0.0698543295335281","increases_with_pseudotime"
"GALNT15","1","D2_late_increasing","28","7","0.215145038938808","1.62613719850724e-12","0.102803738317757","0.0646176253070725","increases_with_pseudotime"
"PPP1R14B","1","D2_late_increasing","28","30","0.215194349002575","1.60802577480208e-12","0.550467289719626","0.562024753812992","increases_with_pseudotime"
"HOXB7","1","D2_late_increasing","27","1","0.215216896670389","1.6005946524948e-12","0.105607476635514","0.0487903741265982","increases_with_pseudotime"
"ADGRA2","1","D2_late_increasing","28","3","0.215763794004173","1.40305257857339e-12","0.363551401869159","0.255225029254875","increases_with_pseudotime"
"NUCB2","1","D2_late_increasing","28","7","0.216159860376597","1.27606878509356e-12","0.285046728971963","0.191506612586463","increases_with_pseudotime"
"ANXA5","1","D2_late_increasing","27","1","0.216163727293591","1.2760113215893e-12","0.522429906542056","0.47427224802834","increases_with_pseudotime"
"ATP5J2","1","D2_late_increasing","27","8","0.216175794349438","1.27337684825444e-12","0.538317757009346","0.464834852075307","increases_with_pseudotime"
"CAPNS1","1","D2_late_increasing","27","30","0.216180952555978","1.27291602413337e-12","0.533644859813084","0.453786843633251","increases_with_pseudotime"
"ATP5G3","1","D2_late_increasing","27","3","0.216357416139719","1.21978761758951e-12","0.508411214953271","0.431155879219602","increases_with_pseudotime"
"MBOAT7","1","D2_late_increasing","27","2","0.216478630779181","1.18489665853735e-12","0.122429906542056","0.0621383163642749","increases_with_pseudotime"
"WDR45","1","D2_late_increasing","27","2","0.216581803911406","1.15612790719187e-12","0.208411214953271","0.114779222285492","increases_with_pseudotime"
"SLC35A4","1","D2_late_increasing","27","4","0.216817310200863","1.09271719461544e-12","0.131775700934579","0.0683900438594211","increases_with_pseudotime"
"CSF1","1","D2_late_increasing","17","1","0.216864393888828","1.081048734393e-12","0.130841121495327","0.0651552743972556","increases_with_pseudotime"
"TES","1","D2_late_increasing","27","6","0.216897256998802","1.07327424908437e-12","0.114953271028037","0.0535170482082851","increases_with_pseudotime"
"C11orf98","1","D2_late_increasing","26","30","0.217087230551499","1.02489078284362e-12","0.232710280373832","0.13931768260439","increases_with_pseudotime"
"MRPS11","1","D2_late_increasing","27","2","0.217107737555162","1.0206329176301e-12","0.170093457943925","0.086865366416857","increases_with_pseudotime"
"PDIA6","1","D2_late_increasing","27","3","0.217360052997828","9.59622208360078e-13","0.342056074766355","0.233404026839878","increases_with_pseudotime"
"NDUFS7","1","D2_late_increasing","27","7","0.217515402908475","9.24177804803717e-13","0.301869158878505","0.187832462147948","increases_with_pseudotime"
"CMBL","1","D2_late_increasing","28","1","0.217539182348906","9.19583366421304e-13","0.113084112149533","0.051467817997162","increases_with_pseudotime"
"POP7","1","D2_late_increasing","28","7","0.217689174124297","8.86769314236614e-13","0.165420560747664","0.0822803930919795","increases_with_pseudotime"
"POLE4","1","D2_late_increasing","25","2","0.217693327358525","8.86671825341883e-13","0.229906542056075","0.13715783939312","increases_with_pseudotime"
"PREB","1","D2_late_increasing","27","3","0.217829746282008","8.57900236124264e-13","0.168224299065421","0.0869015157702992","increases_with_pseudotime"
"MPC2","1","D2_late_increasing","27","7","0.218079863977095","8.06884419691325e-13","0.208411214953271","0.117672462485102","increases_with_pseudotime"
"MIEN1","1","D2_late_increasing","26","2","0.21828083094356","7.68198324848746e-13","0.226168224299065","0.129286054040442","increases_with_pseudotime"
"CA12","1","D2_late_increasing","28","7","0.21884726643939","6.67554334718387e-13","0.195327102803738","0.119766811388746","increases_with_pseudotime"
"PDGFD","1","D2_late_increasing","30","1","0.218915175882464","6.56927931606402e-13","0.136448598130841","0.105430014931431","increases_with_pseudotime"
"COX14","1","D2_late_increasing","27","8","0.218925884200234","6.55779534779608e-13","0.299065420560748","0.186521008831735","increases_with_pseudotime"
"MINOS1","1","D2_late_increasing","27","7","0.218966434818018","6.49767486046093e-13","0.51588785046729","0.446725609982466","increases_with_pseudotime"
"NTMT1","1","D2_late_increasing","27","3","0.219080164364024","6.32132539091083e-13","0.188785046728972","0.104085007792739","increases_with_pseudotime"
"MAPK6","1","D2_late_increasing","28","10","0.219221950662457","6.10663003669042e-13","0.145794392523364","0.0815240889609102","increases_with_pseudotime"
"FAM20A","1","D2_late_increasing","24","1","0.219773457808823","5.33301179689557e-13","0.164485981308411","0.104660705972726","increases_with_pseudotime"
"GAPDH","1","D2_late_increasing","28","30","0.220387689717067","4.57849387042215e-13","0.805607476635514","1.21980103869614","increases_with_pseudotime"
"GADD45GIP1","1","D2_late_increasing","27","7","0.220562396627715","4.39370903104351e-13","0.409345794392523","0.289270112775405","increases_with_pseudotime"
"FIS1","1","D2_late_increasing","28","30","0.220827940360613","4.11301670263642e-13","0.508411214953271","0.433829131482033","increases_with_pseudotime"
"ASNA1","1","D2_late_increasing","24","1","0.220879773131822","4.06338367808685e-13","0.200934579439252","0.102546338015169","increases_with_pseudotime"
"MAPKAPK2","1","D2_late_increasing","28","3","0.221388943346146","3.57956029592936e-13","0.230841121495327","0.13487662868219","increases_with_pseudotime"
"PCNXL3","1","D2_late_increasing","27","1","0.221592627597917","3.40610097338679e-13","0.109345794392523","0.0540780273135103","increases_with_pseudotime"
"KLF7","1","D2_late_increasing","29","12","0.221760534399489","3.26733224232016e-13","0.139252336448598","0.0864724036552621","increases_with_pseudotime"
"MEA1","1","D2_late_increasing","27","6","0.22187223786508","3.17910510170334e-13","0.32803738317757","0.203078319306478","increases_with_pseudotime"
"TMEM98","1","D2_late_increasing","27","8","0.222085830546301","3.01711125055036e-13","0.282242990654206","0.169505612349426","increases_with_pseudotime"
"DCTN1","1","D2_late_increasing","27","30","0.222093493335753","3.01409978150507e-13","0.219626168224299","0.127359690039644","increases_with_pseudotime"
"APOL1","1","D2_late_increasing","26","2","0.222601605913212","2.65145188901703e-13","0.14018691588785","0.0791242938918954","increases_with_pseudotime"
"SMPD1","1","D2_late_increasing","28","3","0.222813822730144","2.51915827924697e-13","0.157009345794393","0.0814361975862488","increases_with_pseudotime"
"MRPL55","1","D2_late_increasing","28","5","0.222929041926087","2.44860405025331e-13","0.277570093457944","0.15879824537654","increases_with_pseudotime"
"RPN1","1","D2_late_increasing","27","7","0.222951523683925","2.43693179261445e-13","0.458878504672897","0.339722318488673","increases_with_pseudotime"
"FRZB","1","D2_late_increasing","24","1","0.223010879660831","2.40262236297505e-13","0.139252336448598","0.0817149688612947","increases_with_pseudotime"
"CLIP1","1","D2_late_increasing","29","2","0.223223506618704","2.27794430756877e-13","0.183177570093458","0.112488874937391","increases_with_pseudotime"
"TMEM263","1","D2_late_increasing","28","3","0.223238299453507","2.27152715670624e-13","0.170093457943925","0.0968452392006697","increases_with_pseudotime"
"CYC1","1","D2_late_increasing","27","13","0.223425417265083","2.16760968536669e-13","0.339252336448598","0.226851833272636","increases_with_pseudotime"
"DGCR6L","1","D2_late_increasing","27","4","0.223458097747032","2.15164301496114e-13","0.272897196261682","0.164719470413879","increases_with_pseudotime"
"R3HDM4","1","D2_late_increasing","28","11","0.223679581600692","2.03514320102683e-13","0.205607476635514","0.120900698615345","increases_with_pseudotime"
"LSM7","1","D2_late_increasing","27","4","0.224460175351954","1.67096926179477e-13","0.457009345794393","0.367640356072119","increases_with_pseudotime"
"CARM1","1","D2_late_increasing","26","1","0.224839801715191","1.51711340028262e-13","0.186915887850467","0.102172460176451","increases_with_pseudotime"
"KCTD12","1","D2_late_increasing","13","1","0.225243098683518","1.37277061197451e-13","0.169158878504673","0.0892344342746413","increases_with_pseudotime"
"SLC25A5","1","D2_late_increasing","27","8","0.225280524380378","1.3609066027402e-13","0.350467289719626","0.234355042364921","increases_with_pseudotime"
"CHMP1A","1","D2_late_increasing","28","2","0.225613276112879","1.25017380457985e-13","0.152336448598131","0.0732796487088725","increases_with_pseudotime"
"ABHD17A","1","D2_late_increasing","28","12","0.225943994380038","1.14889981624683e-13","0.238317757009346","0.135013222457944","increases_with_pseudotime"
"COX7A1","1","D2_late_increasing","27","30","0.226130800930079","1.09682483120884e-13","0.486915887850467","0.443895550881424","increases_with_pseudotime"
"TIAM2","1","D2_late_increasing","29","3","0.226662711089367","9.57462431587518e-14","0.150467289719626","0.105276460266144","increases_with_pseudotime"
"AURKAIP1","1","D2_late_increasing","27","30","0.226754769065402","9.35769450950893e-14","0.448598130841121","0.3304273577312","increases_with_pseudotime"
"SLC31A1","1","D2_late_increasing","27","1","0.226820237625116","9.20895447823009e-14","0.144859813084112","0.0724501094534827","increases_with_pseudotime"
"ARFGAP3","1","D2_late_increasing","28","7","0.226834793569548","9.18315675566334e-14","0.210280373831776","0.126587224494203","increases_with_pseudotime"
"NME3","1","D2_late_increasing","27","1","0.227122519833954","8.52995219158121e-14","0.388785046728972","0.280013062155311","increases_with_pseudotime"
"MRPL41","1","D2_late_increasing","27","4","0.227337101199214","8.08260332160796e-14","0.480373831775701","0.384965208487147","increases_with_pseudotime"
"UFC1","1","D2_late_increasing","27","30","0.227376524896871","8.00791042276942e-14","0.346728971962617","0.227546129061043","increases_with_pseudotime"
"NDUFA2","1","D2_late_increasing","28","8","0.227866656917088","7.06834470693014e-14","0.396261682242991","0.277262441434816","increases_with_pseudotime"
"FSCN1","1","D2_late_increasing","27","11","0.228171221297374","6.53439856940247e-14","0.398130841121495","0.311298405355914","increases_with_pseudotime"
"DLG1","1","D2_late_increasing","29","2","0.228230818290162","6.43973742628668e-14","0.147663551401869","0.104406474337288","increases_with_pseudotime"
"PCED1A","1","D2_late_increasing","23","6","0.228431600183022","6.12841716187077e-14","0.136448598130841","0.0702565275523337","increases_with_pseudotime"
"BLOC1S1","1","D2_late_increasing","26","30","0.228458449900524","6.0915226768477e-14","0.399065420560748","0.290448982378735","increases_with_pseudotime"
"COL8A2","1","D2_late_increasing","28","1","0.228810466869063","5.5660657184482e-14","0.108411214953271","0.0553188978752926","increases_with_pseudotime"
"LZTS1","1","D2_late_increasing","25","1","0.229094765547647","5.17637573625873e-14","0.101869158878505","0.0567510298786772","increases_with_pseudotime"
"LSP1","1","D2_late_increasing","27","7","0.229196560938945","5.04488266971678e-14","0.530841121495327","0.533363892346884","increases_with_pseudotime"
"KIF1C","1","D2_late_increasing","27","7","0.229421009849557","4.76073287653832e-14","0.193457943925234","0.105937164847008","increases_with_pseudotime"
"CMTM3","1","D2_late_increasing","27","30","0.229436992309965","4.74548677225995e-14","0.237383177570093","0.133185206093015","increases_with_pseudotime"
"WDR46","1","D2_late_increasing","28","7","0.229523866726137","4.64293730969533e-14","0.178504672897196","0.0941435213548249","increases_with_pseudotime"
"EFHD2","1","D2_late_increasing","26","2","0.229576206838956","4.58730589227796e-14","0.116822429906542","0.0520900898107179","increases_with_pseudotime"
"MGP","1","D2_late_increasing","24","30","0.229679826693141","4.46963963915765e-14","0.72803738317757","1.54603224231978","increases_with_pseudotime"
"XPOT","1","D2_late_increasing","27","5","0.229800862762539","4.33379747437838e-14","0.114953271028037","0.0536623262332934","increases_with_pseudotime"
"PKIG","1","D2_late_increasing","24","1","0.229827343590037","4.30798517555993e-14","0.230841121495327","0.139469946942313","increases_with_pseudotime"
"BCL3","1","D2_late_increasing","26","3","0.229886977212641","4.24509401112483e-14","0.219626168224299","0.137294309549507","increases_with_pseudotime"
"ARHGDIA","1","D2_late_increasing","27","1","0.230470847173073","3.64363749509718e-14","0.439252336448598","0.336461422040446","increases_with_pseudotime"
"ZNF428","1","D2_late_increasing","28","5","0.230614667625471","3.51398745115348e-14","0.264485981308411","0.152862417987312","increases_with_pseudotime"
"LOXL2","1","D2_late_increasing","27","4","0.23080033833984","3.3489838499679e-14","0.24018691588785","0.185026492130823","increases_with_pseudotime"
"UQCR10","1","D2_late_increasing","27","30","0.230837982674603","3.31912963178678e-14","0.529906542056075","0.478372431289691","increases_with_pseudotime"
"RAB7B","1","D2_late_increasing","26","1","0.231109835364797","3.09484553900996e-14","0.117757009345794","0.05819216685375","increases_with_pseudotime"
"RABAC1","1","D2_late_increasing","28","30","0.231173913708276","3.04581086275116e-14","0.64392523364486","0.707129368805832","increases_with_pseudotime"
"DPM3","1","D2_late_increasing","26","4","0.231339956862504","2.91758185706823e-14","0.402803738317757","0.291243617863775","increases_with_pseudotime"
"CSTB","1","D2_late_increasing","28","3","0.231575135368723","2.7438345674584e-14","0.550467289719626","0.515031196376594","increases_with_pseudotime"
"TMUB1","1","D2_late_increasing","28","6","0.231860597770066","2.54857766776665e-14","0.141121495327103","0.0745695339762298","increases_with_pseudotime"
"PSMB9","1","D2_late_increasing","25","2","0.231934145920319","2.5017526159397e-14","0.211214953271028","0.124002010629005","increases_with_pseudotime"
"AP1S1","1","D2_late_increasing","27","4","0.232021978359552","2.44645849664581e-14","0.113084112149533","0.0476013825686158","increases_with_pseudotime"
"MYL6","1","D2_late_increasing","27","30","0.232109297484363","2.39269296948353e-14","0.88411214953271","1.54204189228058","increases_with_pseudotime"
"LIMK1","1","D2_late_increasing","19","1","0.232232957433456","2.31755143390351e-14","0.119626168224299","0.0617139383792689","increases_with_pseudotime"
"GBP2","1","D2_late_increasing","26","2","0.232694439297611","2.05133271299573e-14","0.11588785046729","0.0516477551652814","increases_with_pseudotime"
"AMPD2","1","D2_late_increasing","27","1","0.232973819088339","1.90772660924911e-14","0.120560747663551","0.0643687267735359","increases_with_pseudotime"
"BEST1","1","D2_late_increasing","26","1","0.233083510130168","1.85449172635178e-14","0.117757009345794","0.0549284002870041","increases_with_pseudotime"
"CUEDC2","1","D2_late_increasing","28","9","0.233137856297444","1.82960354983386e-14","0.270093457943925","0.161963445852303","increases_with_pseudotime"
"ILF2","1","D2_late_increasing","27","3","0.233541420579272","1.6472957037863e-14","0.232710280373832","0.135669367185407","increases_with_pseudotime"
"TUBA1B","1","D2_late_increasing","27","30","0.233622559742225","1.61351538767695e-14","0.64018691588785","0.727354774404457","increases_with_pseudotime"
"SAC3D1","1","D2_late_increasing","28","8","0.233629299967983","1.61295081543376e-14","0.124299065420561","0.0629958107694237","increases_with_pseudotime"
"GDI2","1","D2_late_increasing","27","8","0.233748556799595","1.56473388664171e-14","0.305607476635514","0.182844404492124","increases_with_pseudotime"
"DCTD","1","D2_late_increasing","28","8","0.233959163479835","1.48180705673842e-14","0.2","0.115242729761544","increases_with_pseudotime"
"FAM127A","1","D2_late_increasing","28","30","0.234070090834721","1.43980233989627e-14","0.47196261682243","0.399984003353488","increases_with_pseudotime"
"RPN2","1","D2_late_increasing","27","6","0.234160892294188","1.40655540124971e-14","0.368224299065421","0.244988806896736","increases_with_pseudotime"
"ATP5E","1","D2_late_increasing","27","30","0.234441907369847","1.30688779933072e-14","0.795327102803738","1.21945708108769","increases_with_pseudotime"
"CDC42EP1","1","D2_late_increasing","28","30","0.234451167588357","1.30498771425059e-14","0.272897196261682","0.164350427539205","increases_with_pseudotime"
"PUF60","1","D2_late_increasing","27","1","0.234458498405486","1.30376839533499e-14","0.257009345794392","0.154025178089246","increases_with_pseudotime"
"INPPL1","1","D2_late_increasing","28","2","0.234473064790192","1.30001770757871e-14","0.165420560747664","0.0930007744666555","increases_with_pseudotime"
"MYL6B","1","D2_late_increasing","27","4","0.234622480880182","1.25006280725077e-14","0.3","0.18488932057311","increases_with_pseudotime"
"PKN1","1","D2_late_increasing","25","2","0.23483060057466","1.18436069872355e-14","0.186915887850467","0.105747391941014","increases_with_pseudotime"
"LTBP2","1","D2_late_increasing","28","4","0.234873883530159","1.17184316442539e-14","0.129906542056075","0.074547732348427","increases_with_pseudotime"
"COL15A1","1","D2_late_increasing","25","3","0.234954965803492","1.14889732497277e-14","0.3","0.279457714677494","increases_with_pseudotime"
"NOP10","1","D2_late_increasing","28","30","0.23523224529385","1.06829321062687e-14","0.373831775700935","0.252799085688574","increases_with_pseudotime"
"RAB11FIP5","1","D2_late_increasing","28","1","0.235275641142073","1.05695304838417e-14","0.160747663551402","0.0850749541322572","increases_with_pseudotime"
"OXLD1","1","D2_late_increasing","27","1","0.235422593048692","1.01687345139159e-14","0.127102803738318","0.0581727359691635","increases_with_pseudotime"
"DNM3OS","1","D2_late_increasing","27","3","0.235810992475918","9.19307318364885e-15","0.11588785046729","0.0583684573590862","increases_with_pseudotime"
"LRRC75A","1","D2_late_increasing","27","7","0.235818750101937","9.18346901012093e-15","0.154205607476636","0.0769861243307456","increases_with_pseudotime"
"XXYLT1","1","D2_late_increasing","28","4","0.235889425589419","9.01887856035889e-15","0.149532710280374","0.0778012211284194","increases_with_pseudotime"
"GCN1","1","D2_late_increasing","27","6","0.236301678056848","8.08215774787336e-15","0.144859813084112","0.0813841046316879","increases_with_pseudotime"
"FAAP100","1","D2_late_increasing","27","5","0.236346591336218","7.99269686252557e-15","0.110280373831776","0.0554162637769891","increases_with_pseudotime"
"PTGDS","1","D2_late_increasing","14","4","0.236588024556407","7.51728570617968e-15","0.416822429906542","0.939618074553209","increases_with_pseudotime"
"CCL27","1","D2_late_increasing","28","3","0.2370371086866","6.66700790359895e-15","0.339252336448598","0.231466832357716","increases_with_pseudotime"
"CAPG","1","D2_late_increasing","28","8","0.237121761264469","6.52200836021989e-15","0.233644859813084","0.139560279228974","increases_with_pseudotime"
"MYC","1","D2_late_increasing","27","4","0.237125154930757","6.52200836021989e-15","0.236448598130841","0.133831805299445","increases_with_pseudotime"
"MDFI","1","D2_late_increasing","28","30","0.237182883412308","6.42803014606075e-15","0.249532710280374","0.152201267818209","increases_with_pseudotime"
"B4GALT7","1","D2_late_increasing","27","1","0.237300163968006","6.23246666783802e-15","0.157009345794393","0.0773156273061895","increases_with_pseudotime"
"PSMD8","1","D2_late_increasing","27","7","0.23732006642457","6.20538864175807e-15","0.392523364485981","0.277346591750552","increases_with_pseudotime"
"IMP4","1","D2_late_increasing","28","2","0.237330829003426","6.19385021955534e-15","0.171028037383178","0.0865232070632183","increases_with_pseudotime"
"APRT","1","D2_late_increasing","27","8","0.237559909662011","5.82484635015026e-15","0.501869158878505","0.423594329043471","increases_with_pseudotime"
"PTGES2","1","D2_late_increasing","27","10","0.237692485502681","5.62986496363027e-15","0.164485981308411","0.0889062305448293","increases_with_pseudotime"
"SLC35E1","1","D2_late_increasing","27","1","0.237805789426979","5.46414903972839e-15","0.180373831775701","0.0982503066701662","increases_with_pseudotime"
"ANO1","1","D2_late_increasing","18","2","0.238155464757267","4.98731791833378e-15","0.111214953271028","0.0556889100997403","increases_with_pseudotime"
"SEC61B","1","D2_late_increasing","27","8","0.238218905225388","4.91209442251873e-15","0.6","0.594868903861807","increases_with_pseudotime"
"TTC3","1","D2_late_increasing","28","1","0.238349956545284","4.74406822556732e-15","0.454205607476636","0.364551609289771","increases_with_pseudotime"
"POLR2G","1","D2_late_increasing","27","1","0.23847663788499","4.58718815750805e-15","0.321495327102804","0.202991986287928","increases_with_pseudotime"
"TIMM13","1","D2_late_increasing","27","30","0.238899560972104","4.0935138504138e-15","0.374766355140187","0.270839953055973","increases_with_pseudotime"
"TMED2","1","D2_late_increasing","27","7","0.23897861315536","4.00995305873044e-15","0.3","0.191177945120377","increases_with_pseudotime"
"MMP14","1","D2_late_increasing","28","7","0.239071267461296","3.91341387870206e-15","0.302803738317757","0.199325248048989","increases_with_pseudotime"
"UBA1","1","D2_late_increasing","28","7","0.239371809079441","3.60686728617227e-15","0.280373831775701","0.1782407134943","increases_with_pseudotime"
"APLNR","1","D2_late_increasing","25","1","0.239763610608929","3.24493385622633e-15","0.114018691588785","0.0588784878584249","increases_with_pseudotime"
"DGKZ","1","D2_late_increasing","28","2","0.239970459985394","3.06832113503417e-15","0.104672897196262","0.0496415040733062","increases_with_pseudotime"
"ELN","1","D2_late_increasing","16","4","0.240067878391091","2.99018834172265e-15","0.394392523364486","0.421000075460707","increases_with_pseudotime"
"PRELID1","1","D2_late_increasing","28","30","0.240242503804266","2.85251334650696e-15","0.365420560747664","0.252264916596157","increases_with_pseudotime"
"SIRT2","1","D2_late_increasing","26","1","0.240373048918895","2.75444707541442e-15","0.15607476635514","0.083703751417014","increases_with_pseudotime"
"IL32","1","D2_late_increasing","26","1","0.240399682920637","2.73725068220373e-15","0.195327102803738","0.140756991086408","increases_with_pseudotime"
"CHRD","1","D2_late_increasing","21","1","0.240424132934099","2.72180602318843e-15","0.161682242990654","0.097308975589309","increases_with_pseudotime"
"BAX","1","D2_late_increasing","28","6","0.240517565479621","2.65529247094104e-15","0.142990654205607","0.068743112046345","increases_with_pseudotime"
"PLEKHO1","1","D2_late_increasing","27","1","0.240622552676476","2.58496683334441e-15","0.157009345794393","0.0836679974565697","increases_with_pseudotime"
"TSPAN4","1","D2_late_increasing","25","8","0.240994346865986","2.33454650798687e-15","0.373831775700935","0.263885474381726","increases_with_pseudotime"
"TCEB2","1","D2_late_increasing","28","30","0.240996002519578","2.33454650798687e-15","0.757943925233645","1.00948494417084","increases_with_pseudotime"
"ATP8B2","1","D2_late_increasing","28","6","0.241221096368465","2.20198085457384e-15","0.194392523364486","0.112997039110238","increases_with_pseudotime"
"ATP6V0E1","1","D2_late_increasing","28","3","0.241288250357592","2.1637207240426e-15","0.54392523364486","0.488507200955389","increases_with_pseudotime"
"SPOP","1","D2_late_increasing","28","7","0.241319276337098","2.14755476553632e-15","0.28785046728972","0.182302622680441","increases_with_pseudotime"
"DUSP23","1","D2_late_increasing","27","4","0.241549515257017","2.01673348922997e-15","0.198130841121495","0.106116147778845","increases_with_pseudotime"
"CCND2","1","D2_late_increasing","28","1","0.241574425519317","2.00505646678894e-15","0.166355140186916","0.0860079799750227","increases_with_pseudotime"
"SLC3A2","1","D2_late_increasing","27","13","0.241722622984097","1.92625489918237e-15","0.251401869158879","0.156914222134948","increases_with_pseudotime"
"TMEM205","1","D2_late_increasing","28","2","0.241910491683725","1.83017573220915e-15","0.299065420560748","0.195014372718593","increases_with_pseudotime"
"COMMD7","1","D2_late_increasing","28","1","0.242525403364514","1.54355068883627e-15","0.12803738317757","0.063983092075101","increases_with_pseudotime"
"UBTD1","1","D2_late_increasing","28","2","0.242670984747394","1.4837132635819e-15","0.163551401869159","0.0864479729751392","increases_with_pseudotime"
"SPNS1","1","D2_late_increasing","27","4","0.242828763599221","1.42130401272656e-15","0.191588785046729","0.109743379517742","increases_with_pseudotime"
"MRGPRF","1","D2_late_increasing","25","3","0.243019144943721","1.34911532514066e-15","0.176635514018692","0.0928594117926965","increases_with_pseudotime"
"PIGP","1","D2_late_increasing","28","2","0.243115042162583","1.31486667830016e-15","0.135514018691589","0.0627998897372524","increases_with_pseudotime"
"DDT","1","D2_late_increasing","27","30","0.243197736205874","1.28622150941693e-15","0.404672897196262","0.29435236008942","increases_with_pseudotime"
"CPNE1","1","D2_late_increasing","28","2","0.243244335885133","1.27097762074621e-15","0.300934579439252","0.178859545570186","increases_with_pseudotime"
"TSPAN9","1","D2_late_increasing","28","2","0.243601742920176","1.15110478359725e-15","0.257943925233645","0.165234541093269","increases_with_pseudotime"
"NDUFA13","1","D2_late_increasing","27","30","0.243602331198436","1.15110478359725e-15","0.668224299065421","0.771606323762756","increases_with_pseudotime"
"PTPN14","1","D2_late_increasing","27","5","0.243956942463084","1.04657349497661e-15","0.314018691588785","0.211168768076521","increases_with_pseudotime"
"MXD4","1","D2_late_increasing","27","7","0.244117616001717","1.00263265916487e-15","0.435514018691589","0.325449489518706","increases_with_pseudotime"
"PPP2R1A","1","D2_late_increasing","28","7","0.24419710881761","9.81581903761004e-16","0.421495327102804","0.296020929263038","increases_with_pseudotime"
"ACAN","1","D2_late_increasing","27","5","0.244388108208419","9.31272630404565e-16","0.164485981308411","0.118949797098932","increases_with_pseudotime"
"STARD10","1","D2_late_increasing","27","1","0.244471730775233","9.1063783528017e-16","0.173831775700935","0.0923522260711809","increases_with_pseudotime"
"TCEAL8","1","D2_late_increasing","28","8","0.244768852480029","8.38441318426142e-16","0.324299065420561","0.196148360673227","increases_with_pseudotime"
"NUDT22","1","D2_late_increasing","28","1","0.244848041373308","8.20858755087993e-16","0.139252336448598","0.065266377730222","increases_with_pseudotime"
"TACSTD2","1","D2_late_increasing","28","5","0.24493292958596","8.02347891088849e-16","0.233644859813084","0.136206929148448","increases_with_pseudotime"
"CD248","1","D2_late_increasing","28","30","0.245175078912601","7.51037388185265e-16","0.586915887850467","0.601341818555008","increases_with_pseudotime"
"GOLGA2","1","D2_late_increasing","28","1","0.245291356451091","7.27593350936176e-16","0.419626168224299","0.308907295701368","increases_with_pseudotime"
"HSD3B7","1","D2_late_increasing","27","1","0.245336841067795","7.19124041529035e-16","0.101869158878505","0.0473247390495267","increases_with_pseudotime"
"TAX1BP3","1","D2_late_increasing","28","30","0.245789784008161","6.33324617750176e-16","0.409345794392523","0.296761216470397","increases_with_pseudotime"
"GLRX","1","D2_late_increasing","27","8","0.245848760847361","6.23547483734168e-16","0.15981308411215","0.0798867317395238","increases_with_pseudotime"
"FAM96B","1","D2_late_increasing","28","30","0.24597243418317","6.0276095612204e-16","0.331775700934579","0.210589499505607","increases_with_pseudotime"
"CYP1B1","1","D2_late_increasing","26","1","0.246073725880154","5.86368383767508e-16","0.192523364485981","0.142540325648452","increases_with_pseudotime"
"LTBR","1","D2_late_increasing","21","5","0.246149352755339","5.74584918729061e-16","0.289719626168224","0.166150913356704","increases_with_pseudotime"
"SERPINB6","1","D2_late_increasing","27","7","0.246168355927763","5.72157446138268e-16","0.238317757009346","0.14091467426605","increases_with_pseudotime"
"MFSD12","1","D2_late_increasing","27","2","0.246346216770514","5.44613167869273e-16","0.123364485981308","0.0625742266597479","increases_with_pseudotime"
"FKBP1A","1","D2_late_increasing","27","7","0.246394108499041","5.37878843063658e-16","0.396261682242991","0.278653525222424","increases_with_pseudotime"
"NCLN","1","D2_late_increasing","27","7","0.246422231214168","5.34219426529902e-16","0.15607476635514","0.0785462734663107","increases_with_pseudotime"
"NTM","1","D2_late_increasing","28","2","0.246748343492907","4.874775232873e-16","0.142990654205607","0.0861438850659881","increases_with_pseudotime"
"FAM173A","1","D2_late_increasing","28","4","0.246815017720102","4.78873026312458e-16","0.200934579439252","0.103544336467567","increases_with_pseudotime"
"TMEM141","1","D2_late_increasing","27","30","0.246961977283329","4.60323099841078e-16","0.247663551401869","0.139623141301026","increases_with_pseudotime"
"RNF181","1","D2_late_increasing","28","30","0.247196455803687","4.31074029226383e-16","0.4","0.285975276256117","increases_with_pseudotime"
"FBLN2","1","D2_late_increasing","17","6","0.247223821913597","4.28224864910621e-16","0.624299065420561","0.677023328426256","increases_with_pseudotime"
"CTD-3214H19.16","1","D2_late_increasing","27","30","0.247530582845939","3.92795063038492e-16","0.468224299065421","0.350992835497746","increases_with_pseudotime"
"ARHGAP22","1","D2_late_increasing","29","2","0.247694892490331","3.75225759677297e-16","0.101869158878505","0.0578615425338984","increases_with_pseudotime"
"MRPL3","1","D2_late_increasing","27","2","0.247812099046801","3.63718475471601e-16","0.155140186915888","0.0721367636761194","increases_with_pseudotime"
"YIPF5","1","D2_late_increasing","28","8","0.248313652757959","3.1545129419915e-16","0.27196261682243","0.160955673178398","increases_with_pseudotime"
