"gene","clean_module","dynamic_module","spearman_rho","branch_pattern"
"GORASP2","clean_D2","D2_late_increasing","0.208555691809055","mixed_remodeling_branch_biased"
"ECH1","clean_D2","D2_late_increasing","0.208558011717979","mixed_remodeling_branch_biased"
"GSTO1","clean_D2","D2_late_increasing","0.208721578616666","mixed_remodeling_branch_biased"
"PRMT2","clean_D2","D2_late_increasing","0.208986466680602","mixed_remodeling_branch_biased"
"SUB1","clean_D2","D2_late_increasing","0.209120577610556","mixed_remodeling_branch_biased"
"HLA-A","clean_D2","D2_late_increasing","0.20936887580114","common_increasing"
"ANXA2","clean_D2","D2_late_increasing","0.209552832638253","mixed_remodeling_branch_biased"
"CREB3","clean_D2","D2_late_increasing","0.209644826822057","mixed_remodeling_branch_biased"
"PLP2","clean_D2","D2_late_increasing","0.210034823163748","mixed_remodeling_branch_biased"
"ALDOA","clean_D2","D2_late_increasing","0.210190067201212","mixed_remodeling_branch_biased"
"CCDC92","clean_D2","D2_late_increasing","0.210202422532563","mixed_remodeling_branch_biased"
"IFITM1","clean_D2","D2_late_increasing","0.210385985151784","mixed_remodeling_branch_biased"
"SCAND1","clean_D2","D2_late_increasing","0.210699322187233","mixed_remodeling_branch_biased"
"CD68","clean_D2","D2_late_increasing","0.211034905549239","mixed_remodeling_branch_biased"
"NKIRAS2","clean_D2","D2_late_increasing","0.21119641204181","mixed_remodeling_branch_biased"
"NRP2","clean_D2","D2_late_increasing","0.211255354516691","mixed_remodeling_branch_biased"
"PLXNA2","clean_D2","D2_late_increasing","0.211378136938116","ecm_dominant_branch_biased"
"C4orf3","clean_D2","D2_late_increasing","0.211574555372618","mixed_remodeling_branch_biased"
"RBCK1","clean_D2","D2_late_increasing","0.211657690696962","mixed_remodeling_branch_biased"
"PKM","clean_D2","D2_late_increasing","0.211965482468756","mixed_remodeling_branch_biased"
"MAGOHB","clean_D2","D2_late_increasing","0.212300217610379","mixed_remodeling_branch_biased"
"MAP2K2","clean_D2","D2_late_increasing","0.212383091731176","mixed_remodeling_branch_biased"
"ORMDL3","clean_D2","D2_late_increasing","0.212414163895739","mixed_remodeling_branch_biased"
"CDIPT","clean_D2","D2_late_increasing","0.212801261028019","mixed_remodeling_branch_biased"
"AGPAT1","clean_D2","D2_late_increasing","0.212832509155758","mixed_remodeling_branch_biased"
"CFL1","clean_D2","D2_late_increasing","0.213082321471487","mixed_remodeling_branch_biased"
"PACS2","clean_D2","D2_late_increasing","0.213312247190651","mixed_remodeling_branch_biased"
"GJA1","clean_D2","D2_late_increasing","0.213749778618311","mixed_remodeling_branch_biased"
"KDELR1","clean_D2","D2_late_increasing","0.21385291199362","mixed_remodeling_branch_biased"
"ZNF593","clean_D2","D2_late_increasing","0.213993557814706","mixed_remodeling_branch_biased"
"CORO1C","clean_D2","D2_late_increasing","0.214138158604255","mixed_remodeling_branch_biased"
"RTN4RL2","clean_D2","D2_late_increasing","0.214388557262409","mixed_remodeling_branch_biased"
"PSME2","clean_D2","D2_late_increasing","0.214392170920339","mixed_remodeling_branch_biased"
"AKR1B1","clean_D2","D2_late_increasing","0.214475831004509","mixed_remodeling_branch_biased"
"CYSTM1","clean_D2","D2_late_increasing","0.214501516716064","mixed_remodeling_branch_biased"
"SNX3","clean_D2","D2_late_increasing","0.214619188678021","mixed_remodeling_branch_biased"
"BCL7C","clean_D2","D2_late_increasing","0.214681588419299","mixed_remodeling_branch_biased"
"PODNL1","clean_D2","D2_late_increasing","0.214769180136798","mixed_remodeling_branch_biased"
"GALNT15","clean_D2","D2_late_increasing","0.215145038938808","mixed_remodeling_branch_biased"
"PPP1R14B","clean_D2","D2_late_increasing","0.215194349002575","mixed_remodeling_branch_biased"
"HOXB7","clean_D2","D2_late_increasing","0.215216896670389","mixed_remodeling_branch_biased"
"ADGRA2","clean_D2","D2_late_increasing","0.215763794004173","common_increasing"
"NUCB2","clean_D2","D2_late_increasing","0.216159860376597","common_increasing"
"ANXA5","clean_D2","D2_late_increasing","0.216163727293591","mixed_remodeling_branch_biased"
"ATP5J2","clean_D2","D2_late_increasing","0.216175794349438","mixed_remodeling_branch_biased"
"CAPNS1","clean_D2","D2_late_increasing","0.216180952555978","mixed_remodeling_branch_biased"
"ATP5G3","clean_D2","D2_late_increasing","0.216357416139719","mixed_remodeling_branch_biased"
"MBOAT7","clean_D2","D2_late_increasing","0.216478630779181","mixed_remodeling_branch_biased"
"WDR45","clean_D2","D2_late_increasing","0.216581803911406","mixed_remodeling_branch_biased"
"SLC35A4","clean_D2","D2_late_increasing","0.216817310200863","mixed_remodeling_branch_biased"
"CSF1","clean_D2","D2_late_increasing","0.216864393888828","common_increasing"
"TES","clean_D2","D2_late_increasing","0.216897256998802","mixed_remodeling_branch_biased"
"C11orf98","clean_D2","D2_late_increasing","0.217087230551499","mixed_remodeling_branch_biased"
"PDIA6","clean_D2","D2_late_increasing","0.217360052997828","mixed_remodeling_branch_biased"
"NDUFS7","clean_D2","D2_late_increasing","0.217515402908475","mixed_remodeling_branch_biased"
"CMBL","clean_D2","D2_late_increasing","0.217539182348906","common_increasing"
"POP7","clean_D2","D2_late_increasing","0.217689174124297","mixed_remodeling_branch_biased"
"POLE4","clean_D2","D2_late_increasing","0.217693327358525","mixed_remodeling_branch_biased"
"PREB","clean_D2","D2_late_increasing","0.217829746282008","mixed_remodeling_branch_biased"
"MPC2","clean_D2","D2_late_increasing","0.218079863977095","mixed_remodeling_branch_biased"
"MIEN1","clean_D2","D2_late_increasing","0.21828083094356","mixed_remodeling_branch_biased"
"CA12","clean_D2","D2_late_increasing","0.21884726643939","mixed_remodeling_branch_biased"
"PDGFD","clean_D2","D2_late_increasing","0.218915175882464","ecm_dominant_branch_biased"
"COX14","clean_D2","D2_late_increasing","0.218925884200234","mixed_remodeling_branch_biased"
"MINOS1","clean_D2","D2_late_increasing","0.218966434818018","mixed_remodeling_branch_biased"
"NTMT1","clean_D2","D2_late_increasing","0.219080164364024","mixed_remodeling_branch_biased"
"MAPK6","clean_D2","D2_late_increasing","0.219221950662457","other"
"FAM20A","clean_D2","D2_late_increasing","0.219773457808823","common_increasing"
"GAPDH","clean_D2","D2_late_increasing","0.220387689717067","mixed_remodeling_branch_biased"
"GADD45GIP1","clean_D2","D2_late_increasing","0.220562396627715","mixed_remodeling_branch_biased"
"FIS1","clean_D2","D2_late_increasing","0.220827940360613","mixed_remodeling_branch_biased"
"ASNA1","clean_D2","D2_late_increasing","0.220879773131822","mixed_remodeling_branch_biased"
"MAPKAPK2","clean_D2","D2_late_increasing","0.221388943346146","mixed_remodeling_branch_biased"
"PCNXL3","clean_D2","D2_late_increasing","0.221592627597917","mixed_remodeling_branch_biased"
"KLF7","clean_D2","D2_late_increasing","0.221760534399489","ecm_dominant_branch_biased"
"MEA1","clean_D2","D2_late_increasing","0.22187223786508","mixed_remodeling_branch_biased"
"TMEM98","clean_D2","D2_late_increasing","0.222085830546301","mixed_remodeling_branch_biased"
"DCTN1","clean_D2","D2_late_increasing","0.222093493335753","mixed_remodeling_branch_biased"
"APOL1","clean_D2","D2_late_increasing","0.222601605913212","mixed_remodeling_branch_biased"
"SMPD1","clean_D2","D2_late_increasing","0.222813822730144","mixed_remodeling_branch_biased"
"RPN1","clean_D2","D2_late_increasing","0.222951523683925","mixed_remodeling_branch_biased"
"FRZB","clean_D2","D2_late_increasing","0.223010879660831","mixed_remodeling_branch_biased"
"CLIP1","clean_D2","D2_late_increasing","0.223223506618704","ecm_dominant_branch_biased"
"TMEM263","clean_D2","D2_late_increasing","0.223238299453507","common_increasing"
"CYC1","clean_D2","D2_late_increasing","0.223425417265083","mixed_remodeling_branch_biased"
"DGCR6L","clean_D2","D2_late_increasing","0.223458097747032","mixed_remodeling_branch_biased"
"R3HDM4","clean_D2","D2_late_increasing","0.223679581600692","mixed_remodeling_branch_biased"
"LSM7","clean_D2","D2_late_increasing","0.224460175351954","mixed_remodeling_branch_biased"
"CARM1","clean_D2","D2_late_increasing","0.224839801715191","mixed_remodeling_branch_biased"
"KCTD12","clean_D2","D2_late_increasing","0.225243098683518","common_increasing"
"SLC25A5","clean_D2","D2_late_increasing","0.225280524380378","mixed_remodeling_branch_biased"
