"program","database","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"ECM-producing fibroblasts","GO_BP","GO:0048513","animal organ development","94/267","282/1017",0.333333333333333,1.26966292134831,3.17668368565501,0.00111221547988365,0.154837640057886,0.154821733715381,"COL1A1/ASPN/SPARC/COMP/COL1A2/COL5A1/CTHRC1/FN1/COL3A1/COL8A1/IGF2/RCN3/OGN/COL5A2/SFRP2/COL11A1/SERPINH1/MDK/SFRP4/MMP2/COL14A1/HTRA1/FOXP1/PDLIM7/TAGLN/SEMA3B/SCX/BGN/ADAMTS2/MFAP2/BMP1/ELN/P3H1/ITGA11/TGFB3/SULF1/CDKN2A/B4GALT2/BASP1/EPHB3/ACTB/LOX/HSPG2/COL6A1/FAM114A1/GRIN2D/DCHS1/GLIPR2/PALLD/FBN1/RCN1/ADAMTS6/GMPPA/ACTA2/SULF2/PPIB/FLNA/MAGED1/RYR2/PRDX4/VKORC1/TENM3/PDLIM2/IFT20/MICAL2/RBP4/ADAMTS16/PTN/EVL/THBS3/TNFAIP6/SMTN/EFEMP2/ECM1/TUBB2B/MYL6/TUBA1A/RAC3/KRT16/SEMA3C/TGFB1I1/C1QTNF5/SDF4/EMILIN1/PLXNA3/TUBB2A/LRRC17/DHRS3/EYA4/FHL3/XBP1/SEC61A1/FST/INPPL1",94
"ECM-producing fibroblasts","GO_BP","GO:0001501","skeletal system development","35/267","85/1017",0.411764705882353,1.56840713813615,3.26462184882623,0.00124616939560107,0.154837640057886,0.154821733715381,"COL1A1/COMP/COL1A2/COL3A1/OGN/COL5A2/ACAN/SFRP2/COL11A1/SERPINH1/MDK/SFRP4/MMP2/FOXP1/SCX/BGN/BMP1/P3H1/SULF1/LOX/COL10A1/COL6A1/DCHS1/FBN1/SULF2/PPIB/VKORC1/RBP4/THBS3/ECM1/ADAMTS4/LRRC17/DHRS3/FST/INPPL1",35
"ECM-producing fibroblasts","GO_BP","GO:0001503","ossification","28/267","64/1017",0.4375,1.66643258426966,3.28451774667609,0.00130962219957874,0.154837640057886,0.154821733715381,"COL1A1/ASPN/COMP/COL1A2/CTHRC1/IGF2/CREB3L1/SFRP2/MDK/MMP2/MRC2/PDLIM7/SCX/BMP1/P3H1/ITGA11/LOX/COL6A1/DCHS1/RRBP1/PTN/THBS3/TNFAIP6/ECM1/LRRC17/DHRS3/INPPL1/TPM4",28
"ECM-producing fibroblasts","GO_BP","GO:0009887","animal organ morphogenesis","47/267","124/1017",0.379032258064516,1.44372961217833,3.14467217782439,0.00157796204877838,0.173237690640883,0.173219894076423,"COL1A1/ASPN/SPARC/COMP/COL1A2/COL5A1/CTHRC1/COL3A1/COL8A1/IGF2/COL5A2/SFRP2/COL11A1/SERPINH1/MDK/SFRP4/MMP2/SCX/MFAP2/BMP1/ELN/TGFB3/SULF1/CDKN2A/BASP1/COL6A1/DCHS1/FBN1/GMPPA/ACTA2/SULF2/MAGED1/RYR2/TENM3/MICAL2/RBP4/ADAMTS16/PTN/EVL/THBS3/EFEMP2/TUBA1A/SEMA3C/DHRS3/XBP1/FST/INPPL1",47
"ECM-producing fibroblasts","GO_BP","GO:0031589","cell-substrate adhesion","25/267","57/1017",0.43859649122807,1.67060910703726,3.10772879089041,0.0023082907102108,0.236522854772933,0.236498556975984,"COL1A1/FN1/COL3A1/COL8A1/COL16A1/POSTN/MDK/ITGA11/CDKN2A/EPHB3/TNFRSF12A/P4HB/THBS1/ITGBL1/ITGA10/FLNA/FBLN1/EDIL3/DAPK3/THBS3/EFEMP2/RAC3/ITGB5/EMILIN1/ACTN1",25
"ECM-producing fibroblasts","GO_BP","GO:0009653","anatomical structure morphogenesis","98/267","303/1017",0.323432343234323,1.23195016130827,2.873682215225,0.00281558938136508,0.263670406941189,0.263643320298693,"COL1A1/ASPN/SPARC/COMP/COL1A2/COL5A1/CTHRC1/FN1/COL3A1/HMCN2/COL8A1/NBL1/IGF2/COL12A1/COL5A2/POSTN/ADAM12/CREB3L1/SFRP2/COL11A1/SERPINH1/MDK/SFRP4/MMP2/FOXP1/THBS2/SEMA3B/SCX/CRABP2/MFAP2/BMP1/ELN/CSRP2/TGFB3/UCHL1/SULF1/CDKN2A/BASP1/FLNC/EPHB3/ENAH/TNFRSF12A/FKBP10/ACTB/METRN/LOX/MYL9/HSPG2/COL6A1/FAM114A1/DCHS1/PALLD/THBS1/FBN1/FAP/GMPPA/ACTA2/EHD2/SULF2/FLNA/MAGED1/RYR2/CAPZB/DBN1/TENM3/IFT20/MICAL2/RBP4/ADAMTS16/PTN/DAPK3/EVL/THBS3/EFEMP2/ECM1/TUBB2B/TUBA1A/RAC3/KRT16/PTPRD/SEMA3C/VAT1/MYDGF/ITGB5/TGFB1I1/EMILIN1/TANC2/PLXNA3/PLEKHO1/SRPX2/DHRS3/ACTN1/EYA4/XBP1/SH3PXD2A/FST/INPPL1/TPM4",98
"ECM-producing fibroblasts","GO_BP","GO:0085029","extracellular matrix assembly","9/267","14/1017",0.642857142857143,2.44863563402889,3.2549518478062,0.00291632850878348,0.263670406941189,0.263643320298693,"COL1A2/COL3A1/ELN/FKBP10/LOX/COL6A1/EFEMP2/QSOX1/EMILIN1",9
"ECM-producing fibroblasts","GO_BP","GO:0007275","multicellular organism development","129/267","419/1017",0.307875894988067,1.17269582472983,2.74922389661411,0.003805230146684,0.324924374191851,0.324890994980038,"COL1A1/ASPN/SPARC/COMP/COL1A2/COL5A1/CTHRC1/FN1/COL3A1/HMCN2/COL8A1/NBL1/IGF2/COL12A1/RCN3/LRRC15/OGN/COL5A2/POSTN/ADAM12/CREB3L1/ACAN/SFRP2/COL11A1/SERPINH1/MDK/SFRP4/MMP2/LGALS1/NREP/COL14A1/FOXP1/PDLIM7/PLPP4/THBS2/SEMA3B/SCX/BGN/ADAMTS2/CRABP2/MFAP2/BMP1/ELN/P3H1/TGFB3/UCHL1/SULF1/CDKN2A/B4GALT2/BASP1/EPHB3/MARCKS/ENAH/TNFRSF12A/FKBP10/ACTB/METRN/LOX/HSPG2/COL10A1/COL6A1/FAM114A1/GRIN2D/DCHS1/PALLD/THBS1/FBN1/RCN1/FAP/ADAMTS6/GMPPA/OPCML/ACTA2/SULF2/PPIB/FLNA/MAGED1/RYR2/PRDX4/LRRN1/FBLN1/VKORC1/DBN1/TENM3/PDLIM2/IFT20/MICAL2/RBP4/ADAMTS16/PTN/EVL/B4GALNT1/THBS3/SYNDIG1/TNFAIP6/SEC24D/EFEMP2/ECM1/NCS1/IDH2/TUBB2B/TUBA1A/RAC3/RAD51B/PTPRD/ADAMTS4/SEMA3C/MYDGF/ITGB5/TGFB1I1/S100A9/SDF4/EMILIN1/TANC2/PLXNA3/TUBB2A/SRPX2/CAMK1D/S100A8/LRRC17/DHRS3/HM13/CAPG/XBP1/SH3PXD2A/SEC61A1/FST/INPPL1/HLA-DRA",129
"ECM-producing fibroblasts","GO_BP","GO:0060350","endochondral bone morphogenesis","7/267","10/1017",0.7,2.66629213483146,3.15797190567335,0.00453949976337906,0.367221638753349,0.367183914378584,"COL1A1/COMP/COL3A1/SERPINH1/SCX/THBS3/INPPL1",7
"ECM-producing fibroblasts","GO_BP","GO:0141091","transforming growth factor beta receptor superfamily signaling pathway","22/267","51/1017",0.431372549019608,1.64309319233311,2.81023274595527,0.00544861103930168,0.393467996418008,0.393427575776661,"ASPN/COMP/COL1A2/COL3A1/NBL1/SFRP2/SFRP4/NREP/HTRA1/SCX/TGFB3/SULF1/LOX/THBS1/FBN1/LRRC32/TNFAIP6/ITGB5/TGFB1I1/EMILIN1/XBP1/FST",22
"ECM-producing fibroblasts","GO_BP","GO:0001706","endoderm formation","9/267","15/1017",0.6,2.28539325842697,2.99102222111468,0.00563194269433714,0.393467996418008,0.393427575776661,"COL5A1/FN1/COL8A1/COL12A1/COL5A2/COL11A1/MMP2/COL6A1/ITGB5",9
"ECM-producing fibroblasts","GO_BP","GO:0035987","endodermal cell differentiation","9/267","15/1017",0.6,2.28539325842697,2.99102222111468,0.00563194269433714,0.393467996418008,0.393427575776661,"COL5A1/FN1/COL8A1/COL12A1/COL5A2/COL11A1/MMP2/COL6A1/ITGB5",9
