"root","gene","original_module","original_rho","rho","q_value","expressed_fraction","same_direction","passes_original_threshold"
"Y_114","PTMA","D2_late_increasing",-0.622799369769097,-0.622799369769097,8.10969320731678e-114,0.969158878504673,TRUE,TRUE
"Y_114","RPL35A","D2_late_increasing",-0.551045348610589,-0.551045348610589,2.32029882266842e-84,0.953271028037383,TRUE,TRUE
"Y_114","RPL34","D2_late_increasing",-0.514468740369404,-0.514468740369404,6.96180335372367e-72,0.97196261682243,TRUE,TRUE
"Y_114","SLC35F1","D2_late_increasing",-0.511332138176131,-0.511332138176131,7.02491688206629e-71,0.75981308411215,TRUE,TRUE
"Y_114","H3F3B","D2_late_increasing",-0.495855912758749,-0.495855912758749,4.19407610060859e-66,0.906542056074766,TRUE,TRUE
"Y_114","RPL13","D2_late_increasing",-0.47756969282084,-0.47756969282084,8.49116775783714e-61,0.994392523364486,TRUE,TRUE
"Y_114","RPL11","D2_late_increasing",-0.459169386495373,-0.459169386495373,9.78248197088705e-56,0.986915887850467,TRUE,TRUE
"Y_114","RPS27A","D2_late_increasing",-0.454597796106221,-0.454597796106221,1.57133492681447e-54,0.944859813084112,TRUE,TRUE
"Y_114","RPS13","D2_late_increasing",-0.445317671494405,-0.445317671494405,3.90195041954927e-52,0.971028037383178,TRUE,TRUE
"Y_114","RPL26","D2_late_increasing",-0.443342470452191,-0.443342470452191,1.20410072442641e-51,0.952336448598131,TRUE,TRUE
"Y_114","RPL37A","D2_late_increasing",-0.437498373779041,-0.437498373779041,3.3925407707576e-50,0.988785046728972,TRUE,TRUE
"Y_114","RPL5","D2_late_increasing",-0.429406849353908,-0.429406849353908,3.21848179231182e-48,0.957943925233645,TRUE,TRUE
"Y_114","RPL13A","D2_late_increasing",-0.428140765855019,-0.428140765855019,6.44639263027896e-48,0.989719626168224,TRUE,TRUE
"Y_114","FAU","D2_late_increasing",-0.426130750203916,-0.426130750203916,1.93430778457422e-47,0.958878504672897,TRUE,TRUE
"Y_114","RPL19","D2_late_increasing",-0.416656439792459,-0.416656439792459,3.1863866932878e-45,0.972897196261682,TRUE,TRUE
"Y_114","RPL6","D2_late_increasing",-0.416482541341546,-0.416482541341546,3.47229074657518e-45,0.922429906542056,TRUE,TRUE
"Y_114","RPS14","D2_late_increasing",-0.4161054643909,-0.4161054643909,4.22268850368801e-45,0.995327102803738,TRUE,TRUE
"Y_114","RPL4","D2_late_increasing",-0.415605387228934,-0.415605387228934,5.44299785389082e-45,0.935514018691589,TRUE,TRUE
"Y_114","RPL30","D2_late_increasing",-0.408632171093835,-0.408632171093835,2.02516798982225e-43,0.976635514018692,TRUE,TRUE
"Y_114","RPS27","D2_late_increasing",-0.408546233175956,-0.408546233175956,2.10382994875117e-43,0.97196261682243,TRUE,TRUE
"Y_114","RPL24","D2_late_increasing",-0.399746630266726,-0.399746630266726,1.88018362775748e-41,0.961682242990654,TRUE,TRUE
"Y_114","GNB2L1","D2_late_increasing",-0.396735132497105,-0.396735132497105,8.34919500269255e-41,0.933644859813084,TRUE,TRUE
"Y_114","RPL12","D2_late_increasing",-0.396630612973843,-0.396630612973843,8.74625700589563e-41,0.983177570093458,TRUE,TRUE
