"sample","condition","n_cells","median_old_pseudotime","median_clean_D1","median_clean_D2","homeostatic_fraction","matrix_fraction","ecm_fraction","median_pt_Y_114","median_pt_Y_56","median_pt_Y_1"
"K183156","Keloid",569,19.9208481237642,0.0791184416373859,0.395836368629022,0.184534270650264,0.286467486818981,0.528998242530756,19.9208481237642,1.06432224894383,11.5625647155957
"K183261","Keloid",49,15.1362562380114,0.0912248598090157,0.288458706493948,0.489795918367347,0.142857142857143,0.36734693877551,15.1362562380114,9.53522194828942,8.64049631429795
"K712771","Keloid",93,14.1663634508163,0.16360506044877,0.343506740775223,0.21505376344086,0.462365591397849,0.32258064516129,14.1663634508163,7.72541648708768,9.70008649692222
"N176712","Normal",11,7.63301497843142,0.317293965730855,0.248634960880203,0.545454545454545,0.363636363636364,0.0909090909090909,7.63301497843142,13.36744320007,13.9325153285353
"N177536","Normal",43,6.74314298703417,0.249257097342036,0.215118331737006,0.744186046511628,0.13953488372093,0.116279069767442,6.74314298703417,14.0758679674664,14.6409400959317
"N387690","Normal",305,0.378939526616552,0.660011648711677,0.135701782579501,0.891803278688525,0.019672131147541,0.0885245901639344,0.378939526616552,20.116252451375,20.6813245798403
