"gene","spearman_rho.mixed_remodeling_branch","fdr.mixed_remodeling_branch","spearman_rho.ecm_dominant_branch","fdr.ecm_dominant_branch","branch_pattern","original_module"
"ANXA1",0.339573355652177,4.18426492213107e-25,0.26475127085424,3.76387817552251e-12,"common_increasing","D2_late_increasing"
"FAM234A",0.337855876414276,7.39189055768044e-25,0.146055178520496,0.000152864750133095,"mixed_remodeling_branch_biased","D2_late_increasing"
"TWF2",0.38588263346865,2.10362042020852e-32,0.172071347318679,8.08493604342498e-06,"mixed_remodeling_branch_biased","D2_late_increasing"
"ITGA5",0.354454087131798,2.55473050944936e-27,0.175426258562274,5.34350078590128e-06,"mixed_remodeling_branch_biased","D2_late_increasing"
"RARRES3",0.415153250745839,1.14950743655659e-37,0.205450885706822,9.08335781235641e-08,"common_increasing","D2_late_increasing"
"AKR1C3",0.402120077520935,2.92207322989854e-35,0.200619052952056,1.83606997630673e-07,"common_increasing","D2_late_increasing"
"TMEM208",0.405380202557289,7.46281297055402e-36,0.0496695850061498,0.194745453595312,"mixed_remodeling_branch_biased","D2_late_increasing"
"BUD31",0.390515513673073,3.37062823060822e-33,0.102563024133532,0.00785405658520557,"mixed_remodeling_branch_biased","D2_late_increasing"
"CCDC167",0.383890117927044,4.59949402821047e-32,0.133532459685748,0.000539424180456513,"mixed_remodeling_branch_biased","D2_late_increasing"
"SCARF2",0.355451077425385,1.7969928377534e-27,0.18403546344598,1.75426318643712e-06,"mixed_remodeling_branch_biased","D2_late_increasing"
"RNPEPL1",0.33682614074078,1.04650245879609e-24,0.204438155544594,1.05669388982016e-07,"common_increasing","D2_late_increasing"
"OLFM2",0.326007865072758,3.48262587570823e-23,0.232794320140686,1.22404923774368e-09,"common_increasing","D2_late_increasing"
"SPINT2",0.345893100942993,4.94700313708697e-26,0.184257314970977,1.70686793696706e-06,"mixed_remodeling_branch_biased","D2_late_increasing"
"BRI3",0.407592485007458,2.95433841251681e-36,0.183832223909492,1.80105785949337e-06,"mixed_remodeling_branch_biased","D2_late_increasing"
"RP11-196G11.1",0.362344369433363,1.52732844544184e-28,0.163646064164689,2.19543964666837e-05,"mixed_remodeling_branch_biased","D2_late_increasing"
"KCNK6",0.293075869711228,6.85373371814453e-19,0.249338493840707,6.77152835210527e-11,"common_increasing","D2_late_increasing"
"LRPAP1",0.39470926680824,6.24384032674346e-34,0.154421995228668,6.25461429326454e-05,"mixed_remodeling_branch_biased","D2_late_increasing"
"FBLIM1",0.35081934858871,9.09267252974895e-27,0.19416311686183,4.52173459623652e-07,"mixed_remodeling_branch_biased","D2_late_increasing"
"ARSA",0.3427305824802,1.44101586583436e-25,0.247889346838548,8.84455358667898e-11,"common_increasing","D2_late_increasing"
"RNASEH2C",0.40885565172649,1.74896110299175e-36,0.130005668195413,0.000759382937704156,"mixed_remodeling_branch_biased","D2_late_increasing"
"TXNL4A",0.392894075254037,1.29527802084298e-33,0.0923924296063846,0.0165444259434644,"mixed_remodeling_branch_biased","D2_late_increasing"
"GTF3C6",0.386190683247388,1.87051528092327e-32,0.113808465578793,0.00319258080362965,"mixed_remodeling_branch_biased","D2_late_increasing"
"AKT1S1",0.38268371489624,7.36491868929172e-32,0.140895282176038,0.000260772305784022,"mixed_remodeling_branch_biased","D2_late_increasing"
"SH3GL1",0.343259227273177,1.20553370449755e-25,0.154898420810333,5.94992686417786e-05,"mixed_remodeling_branch_biased","D2_late_increasing"
"AP3D1",0.290558169961723,1.39209179961664e-18,0.246449508608503,1.14077454044355e-10,"common_increasing","D2_late_increasing"
"QSOX1",0.349702791411763,1.34331641206408e-26,0.196907909721029,3.1020612212665e-07,"mixed_remodeling_branch_biased","D2_late_increasing"
"TXLNA",0.341935494476212,1.88768370065965e-25,0.152977270434461,7.30953159590263e-05,"mixed_remodeling_branch_biased","D2_late_increasing"
"GPC6",0.161861976726163,1.32561535808527e-06,0.39186848863948,4.21837262355599e-26,"ecm_dominant_branch_biased","D2_late_increasing"
"LTBP3",0.322858655331578,9.42243891811053e-23,0.230736586001323,1.72170588411209e-09,"common_increasing","D2_late_increasing"
"FAM229B",0.402288563489455,2.72671043771344e-35,0.121612865663934,0.00163616831894785,"mixed_remodeling_branch_biased","D2_late_increasing"
"C12orf75",0.353391465076798,3.707971082296e-27,0.160362617729807,3.20491438949908e-05,"mixed_remodeling_branch_biased","D2_late_increasing"
"SRM",0.398799019312094,1.16582475025257e-34,0.103614893973227,0.00723340989138207,"mixed_remodeling_branch_biased","D2_late_increasing"
"PPDPF",0.421657172069366,6.68807892755085e-39,0.165407111962949,1.79043859856828e-05,"mixed_remodeling_branch_biased","D2_late_increasing"
"PRKCDBP",0.426165814741339,8.7411333441055e-40,0.146210667882214,0.000150466127735191,"mixed_remodeling_branch_biased","D2_late_increasing"
"GTF3A",0.402845689123945,2.16108732880658e-35,0.163297650330762,2.28150789018431e-05,"mixed_remodeling_branch_biased","D2_late_increasing"
"JDP2",0.316290072794701,7.23546805382722e-22,0.270694396229049,1.15925891035788e-12,"common_increasing","D2_late_increasing"
"RP11-282O18.3",0.400752748286096,5.17119218110295e-35,0.128206236905826,0.000897183791014332,"mixed_remodeling_branch_biased","D2_late_increasing"
"TRAPPC1",0.409308260595098,1.43967458528524e-36,0.0974360815788885,0.011513425963776,"mixed_remodeling_branch_biased","D2_late_increasing"
"GSR",0.307864785452075,9.18898536813004e-21,0.254723562022123,2.49364553097596e-11,"common_increasing","D2_late_increasing"
"PDIA5",0.335972366528382,1.38632762382013e-24,0.229175083837247,2.23976039594167e-09,"common_increasing","D2_late_increasing"
"RHOC",0.455543967643386,7.3786427853533e-46,0.0398957487867513,0.297577021205426,"mixed_remodeling_branch_biased","D2_late_increasing"
"UROD",0.416755437666481,5.72365879634297e-38,0.210732160105264,4.11618352566975e-08,"common_increasing","D2_late_increasing"
"IMPDH1",0.367950603881346,1.95342994309698e-29,0.119804057107747,0.00191124408720675,"mixed_remodeling_branch_biased","D2_late_increasing"
"YIF1B",0.362055511380596,1.69390034770368e-28,0.158264072503735,4.07076546184955e-05,"mixed_remodeling_branch_biased","D2_late_increasing"
"MED8",0.396240797069189,3.34898675486009e-34,0.0882963908759425,0.0219699955181361,"mixed_remodeling_branch_biased","D2_late_increasing"
"UQCC2",0.418995873824006,2.14999888451895e-38,0.126081694557452,0.00109241722644124,"mixed_remodeling_branch_biased","D2_late_increasing"
"CD276",0.352938595425986,4.34821938013957e-27,0.198124263417339,2.61097657067955e-07,"mixed_remodeling_branch_biased","D2_late_increasing"
"GLMP",0.367083694165195,2.69028929667879e-29,0.189259329029027,8.76572059772648e-07,"mixed_remodeling_branch_biased","D2_late_increasing"
"BTN3A2",0.359482267239694,4.26231980644209e-28,0.255639838465294,2.10970347146939e-11,"common_increasing","D2_late_increasing"
"TANC2",0.123717154597157,0.000226371520585682,0.385457467742871,3.09137379510098e-25,"ecm_dominant_branch_biased","D2_late_increasing"
"ZNHIT1",0.441651066710327,6.72789571328183e-43,0.155821683305762,5.37266612758001e-05,"mixed_remodeling_branch_biased","D2_late_increasing"
"EIF4G1",0.35638526305398,1.29381565343369e-27,0.158363135674418,4.03393778739154e-05,"mixed_remodeling_branch_biased","D2_late_increasing"
"UQCRQ",0.465591821326395,4.51905559158122e-48,0.147553307650615,0.00013058475923427,"mixed_remodeling_branch_biased","D2_late_increasing"
"GRIN2D",0.298709127457419,1.36676322587501e-19,0.2397080504444,3.77869911528271e-10,"common_increasing","D2_late_increasing"
"COPA",0.342175914815426,1.74007502555061e-25,0.199071754007347,2.27698523055787e-07,"mixed_remodeling_branch_biased","D2_late_increasing"
"FMO1",0.362049567584053,1.69458827958682e-28,0.265150038519086,3.51010202733946e-12,"common_increasing","D2_late_increasing"
"CD63",0.545822998481605,8.71543344144518e-69,0.0695825472928071,0.0704749059754553,"mixed_remodeling_branch_biased","D2_late_increasing"
"ARPC4",0.380740606433881,1.56938624790938e-31,0.108495836918278,0.00491425521933921,"mixed_remodeling_branch_biased","D2_late_increasing"
"ITGB1BP1",0.365178483194375,5.41594910436719e-29,0.227303107561133,3.04761452650796e-09,"common_increasing","D2_late_increasing"
"NDST1",0.329195007654983,1.25668509332334e-23,0.224409250058808,4.85454214866503e-09,"common_increasing","D2_late_increasing"
"CHPF2",0.336769671554004,1.06513942943022e-24,0.211296586625136,3.78652324335394e-08,"common_increasing","D2_late_increasing"
