"waldStat","df","pvalue","logFC1_2","gene","fdr"
25.3970708888394,1,4.66626095541045e-07,-4.37301107304782,"LAMC3",1.72744362521486e-06
2.25823566185428,1,0.132905403643535,1.39118656633879,"SEMA3G",0.175221982633812
0.0223915310328945,1,0.881050226072395,-0.0609060704194636,"IGFBP3",0.899875275039798
8.74493530277523,1,0.00310463116279569,-2.10197191313283,"ALX4",0.00589300108659691
33.1382120687175,1,8.58351678623137e-09,-2.78449624517825,"COL23A1",3.86950474476075e-08
10.6104226160964,1,0.00112451984709772,-1.49692659517098,"TFAP2A",0.00232817257232453
62.0384858674315,1,3.33066907387547e-15,-1.79494161449613,"TCF4",2.71802045590714e-14
1.34343628907885,1,0.246428879656396,-0.837164190252124,"BMP7",0.302091543262994
8.9203309694847,1,0.00282013400107695,-1.53624458133621,"BMP4",0.00544500681271175
1.1798571096395,1,0.277385087108626,-0.721703419254134,"SLC5A3",0.335987570300589
2.01332915879463,1,0.155922834692256,-0.77712038309896,"GADD45G",0.20083148523726
2.19041668945472,1,0.138871741971439,0.728230128699785,"SERPINE2",0.182014780215791
0.00388944178999408,1,0.950271856575445,0.048188277957464,"INHBB",0.955399222708046
0.118500441124795,1,0.730666607192783,-0.491046026623554,"PRLR",0.765590690573131
97.6464840440036,1,0,-2.36715736874632,"TRPS1",0
3.20711259824682,1,0.0733187639932174,-0.296455311380745,"TIMP3",0.101448487802496
1.79825858591621,1,0.179923166002143,-1.00394060606837,"PRDM1",0.228065872551469
10.6799969796805,1,0.00108300237994108,-1.61740703273668,"PTCH1",0.00226172025281482
0.556638175784305,1,0.455617952845526,-0.246995694585874,"APCDD1",0.514526132607371
30.7966214664276,1,2.86536294691331e-08,-2.20090404068394,"DAAM2",1.23686323345524e-07
3.06039986677252,1,0.0802219252284115,0.837155464503938,"INHBA",0.110181956271946
49.8627397891239,1,1.64890323617328e-12,-3.01568865578542,"BCL2",1.11052639641068e-11
1.37991754626947,1,0.240115192700366,1.30016512221,"CENPW",0.295648442113446
0.00482957239020775,1,0.944595513009179,0.0390131036376294,"CEBPA",0.951403408598435
1.56303401253019,1,0.211221534894462,-0.860613876289346,"IGFBP2",0.263261623201794
0.0389023552379023,1,0.843642234040339,0.067737931986293,"MRPS6",0.866108372504223
0.827270129327536,1,0.363063089173721,0.569529526001134,"CRABP1",0.423414508472031
113.944668999691,1,0,-3.89920439229377,"ROBO2",0
50.7949678395701,1,1.02540198554379e-12,-2.61996618547645,"DKK2",6.99024036486562e-12
0.884194771312353,1,0.347055333621255,-0.34595146686708,"PHLDA1",0.407571284651852
0.247059202547706,1,0.619153437831818,-0.191112611615854,"DIO2",0.664950570121011
0.359175763353361,1,0.548964352108907,0.137716211408581,"MYLIP",0.601118653925326
14.9117448299868,1,0.000112659411405591,-1.94524483922414,"LUZP2",0.000293566426543612
32.9467768640326,1,9.47166456377602e-09,-2.58186752036439,"ZDHHC14",4.20211150091333e-08
0.952340899162648,1,0.329124156521879,-0.612567004812197,"PGM2L1",0.391031675867652
36.3512056803399,1,1.6477724740227e-09,-3.15657425017648,"PREX2",8.04458351946454e-09
7.06958639390344,1,0.00784033525566219,-1.56332821287324,"TNN",0.013568877423886
1.71674466951841,1,0.190112617306684,-0.369436716963243,"F2R",0.239893799265093
77.13363011701,1,0,-4.03813988875928,"PLEKHH2",0
11.9528670262294,1,0.000545633551367386,-1.6109620192103,"HIST1H2BD",0.00122493636632277
42.0378997602706,1,8.95213903007175e-11,-1.39567295636796,"TWIST1",5.08045250539097e-10
7.3600549662393,1,0.00666887529671145,-1.3563429132646,"HIST2H2BE",0.0117971559837396
66.243058850777,1,4.44089209850063e-16,-2.82332610038273,"ITGA8",3.84877315203388e-15
1.83143806650665,1,0.175957782644853,0.613747720871839,"CPE",0.223292623152038
1.67424159697811,1,0.195691369373553,1.20247621398509,"SOX18",0.245823540404081
40.8546762454822,1,1.63980384826345e-10,0.863216710778635,"PTMA",9.16650351179271e-10
133.376971752085,1,0,1.44833107517932,"RPL35A",0
88.8746185433147,1,0,1.36182169649443,"RPL34",0
35.2747442137079,1,2.86321055753547e-09,1.16791735786054,"SLC35F1",1.33935958298103e-08
12.3717332284386,1,0.000435882782429564,0.440808271212198,"H3F3B",0.00100065082290812
192.224839636032,1,0,1.54236953743098,"RPL13",0
88.9286454798658,1,0,2.15662474413278,"RPL11",0
132.814100384825,1,0,1.73890924925899,"RPS27A",0
140.711850760257,1,0,1.5116030887545,"RPS13",0
99.7779021368432,1,0,1.28691977953421,"RPL26",0
202.864608092271,1,0,1.68850664171428,"RPL37A",0
66.4005589222599,1,3.33066907387547e-16,0.9999515029461,"RPL5",2.93203781463998e-15
217.812784225929,1,0,1.81232195133631,"RPL13A",0
132.889535399176,1,0,1.41947210654102,"FAU",0
108.276022612946,1,0,2.42129125522994,"RPL19",0
95.1962513296723,1,0,1.44225634433399,"RPL6",0
195.479409396049,1,0,1.50847015709801,"RPS14",0
66.2020079851499,1,4.44089209850063e-16,1.08327431556052,"RPL4",3.84877315203388e-15
187.417356970329,1,0,1.66178512920265,"RPL30",0
181.707115727588,1,0,1.87548993508289,"RPS27",0
140.232168877221,1,0,1.52034113045129,"RPL24",0
52.4448786644888,1,4.42534897615587e-13,0.798780563455489,"GNB2L1",3.13135452869764e-12
89.9015700257319,1,0,2.06078752463342,"RPL12",0
156.533231515846,1,0,1.47666758033435,"RPS23",0
112.119645560528,1,0,1.3060713854296,"RPL38",0
