"waldStat","df","pvalue","meanLogFC","gene","fdr"
85.8021940732181,10,3.63042929052426e-14,2.17396611020866,"LAMC3",1.42702588562599e-13
130.822585620222,10,0,3.27460660449638,"SEMA3G",0
261.965893645569,10,0,3.74958252652588,"IGFBP3",0
84.4189685531629,10,6.79456491070596e-14,2.46210374082905,"ALX4",2.62530422932809e-13
96.3431062886725,10,3.33066907387547e-16,1.59915545764616,"COL23A1",1.48977710299455e-15
212.759326508682,10,0,3.20428987750294,"TFAP2A",0
159.310001812567,10,0,0.48079128954649,"TCF4",0
52.209718119449,10,1.04350316498802e-07,2.38089338456092,"BMP7",2.56775304555319e-07
167.296286511651,10,0,2.70580033224564,"BMP4",0
101.247727027977,10,0,2.86992793754066,"SLC5A3",0
173.44361638868,10,0,2.7348462460604,"GADD45G",0
96.2230117638532,10,3.33066907387547e-16,2.05219077448949,"SERPINE2",1.48977710299455e-15
100.244681233519,10,0,2.37340665363376,"INHBB",0
106.874963153805,10,0,4.27337971579259,"PRLR",0
120.813666626162,10,0,1.20341778448714,"TRPS1",0
NA,NA,NA,0.556444297296122,"TIMP3",NA
104.762660940536,10,0,2.88227296103864,"PRDM1",0
26.9431570526639,10,0.00265880859320877,1.18542989159739,"PTCH1",0.00408493773711263
53.3097381454132,10,6.52192925221229e-08,0.760466297875636,"APCDD1",1.63138065041564e-07
49.6403948632855,10,3.10779227130631e-07,1.00468468580463,"DAAM2",7.31055798535266e-07
109.864210151357,10,0,2.62909990140338,"INHBA",0
80.8367730375193,10,3.44058115331336e-13,0.917490918658627,"BCL2",1.23480145739468e-12
62.9339147235689,10,1.00507535627514e-09,3.08524460716822,"CENPW",2.8698378097416e-09
49.4088920782999,10,3.4273207683011e-07,1.88618751772193,"CEBPA",8.02063726190051e-07
64.748272809219,10,4.52844761689164e-10,2.98360515679944,"IGFBP2",1.33500988186286e-09
83.9593212760704,10,8.37108160567368e-14,1.90366330350778,"MRPS6",3.20714856453658e-13
13.7046190016166,10,0.186896154062802,1.10871440835418,"CRABP1",0.223291720906611
114.04150867895,10,0,0.708224123975034,"ROBO2",0
125.114395336184,10,0,2.10993324136579,"DKK2",0
NA,NA,NA,1.05380149333584,"PHLDA1",NA
23.4723328742486,10,0.00913118109736277,1.11321592210256,"DIO2",0.0132657798982486
NA,NA,NA,1.04558233017424,"MYLIP",NA
123.659840281605,10,0,3.77308711509625,"LUZP2",0
39.3845335562562,10,2.17384901848305e-05,1.06923864209469,"ZDHHC14",4.36693563889959e-05
81.7625361959795,10,2.26374474721069e-13,3.34709962252371,"PGM2L1",8.25494068460767e-13
51.5309077628234,10,1.39348462324662e-07,0.551464028688357,"PREX2",3.37409076775449e-07
50.3011073277462,10,2.34941792687238e-07,2.13025505097478,"TNN",5.58448030785371e-07
16.7794006279811,10,0.0793900394770393,0.717269490536331,"F2R",0.10053857161109
109.657760863015,10,0,0.933282741393801,"PLEKHH2",0
25.086171680563,10,0.00518454013002023,1.61901180289119,"HIST1H2BD",0.00780690288235219
62.0721050042709,10,1.46621859098417e-09,0.729386870849242,"TWIST1",4.13455428761996e-09
17.6190325197342,10,0.0617402734127894,1.20109883529779,"HIST2H2BE",0.0795179691614366
63.8523107977061,10,6.71578459510158e-10,1.04043014791754,"ITGA8",1.95446551677956e-09
81.9783682016732,10,2.05391259555654e-13,1.95034284124417,"CPE",7.58110827953389e-13
43.4748411932399,10,4.08911649996124e-06,2.42334229835853,"SOX18",8.67504154664675e-06
280.126999558137,10,0,1.16671476880338,"PTMA",0
162.641071549339,10,0,0.201304188914757,"RPL35A",0
111.620965232079,10,0,0.287318529927662,"RPL34",0
47.3945587949081,10,8.00345397067304e-07,0.231249193009582,"SLC35F1",1.80325960431045e-06
98.0773844364071,10,1.11022302462516e-16,0.752919630966798,"H3F3B",5.22322542155255e-16
251.07062765553,10,0,0.174602445078525,"RPL13",0
176.302984506309,10,0,0.227416491139951,"RPL11",0
160.158267050112,10,0,0.347443430669984,"RPS27A",0
172.854813029607,10,0,0.200055483465994,"RPS13",0
109.191879799594,10,0,0.183466185064413,"RPL26",0
250.821456234285,10,0,0.163392893703791,"RPL37A",0
83.2019533563735,10,1.18016707517654e-13,0.257206759323818,"RPL5",4.4280648936376e-13
282.911166086395,10,0,0.146263993774026,"RPL13A",0
159.227848204921,10,0,0.187085615999317,"FAU",0
214.893067520095,10,0,0.208692606504498,"RPL19",0
