"waldStat","df","pvalue","fcMedian","gene","fdr"
28.0946245988718,6,9.01844190445145e-05,0.376445629223904,"LAMC3",0.000259861289927235
2.65240162039055,4,0.61756903016865,0.36227166000522,"SEMA3G",0.680909443519281
5.03222182018115,6,0.539687123680045,0.256115833362556,"IGFBP3",0.612558583019584
15.4764500771629,5,0.00850921225772538,0.451395757661691,"ALX4",0.0162066427668432
44.6737718206751,6,5.4333317844879e-08,0.480480601570642,"COL23A1",2.35444377327809e-07
20.6119939400783,5,0.00095880193253528,0.956331831373942,"TFAP2A",0.0022807245969669
115.704289021575,6,0,0.0968015978305976,"TCF4",0
3.43990347205283,5,0.632499865781956,0.441371989106729,"BMP7",0.695347536570539
14.3366159249967,5,0.01360681433452,0.376987395878294,"BMP4",0.0245302600415118
5.81982964002631,5,0.324146952131799,0.466037919955929,"SLC5A3",0.401769725591299
5.81257938926822,5,0.324885074884444,0.533984522942763,"GADD45G",0.401793709868151
10.9407401186119,6,0.090225288486953,0.521505695708342,"SERPINE2",0.131172786122774
7.53651005408982,5,0.183697395811832,0.761458848778962,"INHBB",0.24684337562215
1.68131404097913,4,0.794109088390508,0.966508644591014,"PRLR",0.831286480169089
129.358984263263,5,0,0.125240260778967,"TRPS1",0
6.11021766636603,2,0.0471175925337003,0.247672533956424,"TIMP3",0.074268043058277
3.09851929369073,5,0.684800127122104,0.352385224825576,"PRDM1",0.738682113815118
11.2176546735113,5,0.0472312867749866,0.21623490945197,"PTCH1",0.074268043058277
1.03290576174148,5,0.959868270440528,0.100379746578631,"APCDD1",0.971160838328063
40.8165655017263,6,3.14684710733815e-07,0.310408436093672,"DAAM2",1.23879403732537e-06
7.03198484857283,6,0.317899390511998,0.521256656271275,"INHBA",0.394901687324905
59.0600667383705,5,1.90062410254654e-11,0.428878165425088,"BCL2",1.14241814335862e-10
4.2061883060196,5,0.520127943788611,0.282350418554967,"CENPW",0.594479525972776
0.632301191832891,5,0.986476596868015,0.0597986930236426,"CEBPA",0.988877128585856
10.7506718240589,5,0.056553766264685,1.3439012392192,"IGFBP2",0.0876964036673628
6.02804582353019,5,0.30349949741459,0.257057267502232,"MRPS6",0.380822040526949
2.90322133026409,5,0.714903258094638,0.602908233282795,"CRABP1",0.760499491256803
146.047205803809,6,0,0.114450223981419,"ROBO2",0
59.0749659209039,6,6.93642920879256e-11,0.434933063862115,"DKK2",3.99738549248973e-10
1.51732512810305,4,0.823568171079776,0.252218883481146,"PHLDA1",0.858107376763457
0.695029783763395,5,0.98324033833445,0.125257722752344,"DIO2",0.986770824288972
0.755376515449362,3,0.860107836295302,0.0657908017194587,"MYLIP",0.88790448843781
31.7801636118277,5,6.56745091465183e-06,0.600884567682011,"LUZP2",2.21825079232047e-05
40.0550442586695,5,1.45568150644593e-07,0.337641116709145,"ZDHHC14",6.02759971928351e-07
5.07201999682863,5,0.407154203408455,0.637547868713182,"PGM2L1",0.486843207925831
43.1082371072877,5,3.51304303425337e-08,0.404371711120331,"PREX2",1.5773422137732e-07
20.2958806648919,6,0.00245270537088427,0.938891777996707,"TNN",0.0053245137954342
3.57221423477263,5,0.61248997260567,0.222945152898865,"F2R",0.677983949874395
119.196873689694,6,0,0.337710108298796,"PLEKHH2",0
29.0756104580174,5,2.24089081993784e-05,1.06883699510062,"HIST1H2BD",7.05722799067746e-05
51.0919084307039,5,8.28176083267351e-10,0.303255983682361,"TWIST1",4.36745689194764e-09
9.62706310548904,5,0.0865187728939437,0.283708339990869,"HIST2H2BE",0.126441814503829
89.2966937721858,5,0,0.456892666201139,"ITGA8",0
15.3731632805844,6,0.0175446846204343,0.830840944168817,"CPE",0.0306483709463213
8.70999354845208,6,0.19055667193181,0.748410099421229,"SOX18",0.255140549963789
52.2357153842421,6,1.6719737816473e-09,0.10906581571804,"PTMA",8.57461783431962e-09
176.309550875981,6,0,0.106520197311101,"RPL35A",0
131.629594807119,6,0,0.203038560343059,"RPL34",0
45.807738376371,5,9.93855664432886e-09,0.134445139965752,"SLC35F1",4.76880099929599e-08
13.3828766929413,5,0.020043164761922,0.0587129861144721,"H3F3B",0.0346877061978774
313.8495577198,6,0,0.0847789165639219,"RPL13",0
206.095818342311,6,0,0.164870714391132,"RPL11",0
183.715257486634,6,0,0.206167525496697,"RPS27A",0
182.343623732157,6,0,0.0529372896671391,"RPS13",0
149.366844206066,6,0,0.211649398404061,"RPL26",0
322.38786658794,6,0,0.0828251246969693,"RPL37A",0
88.4910341336809,6,1.11022302462516e-16,0.1589493741731,"RPL5",8.5015708324036e-16
364.482554478854,6,0,0.0570757067000217,"RPL13A",0
172.574601369367,6,0,0.116494542543487,"FAU",0
231.186401675398,6,0,0.121650725628567,"RPL19",0
130.232501378159,6,0,0.201875999612286,"RPL6",0
310.093474265872,6,0,0.108497523531744,"RPS14",0
80.4213340957293,6,2.88657986402541e-15,0.0224863290845023,"RPL4",2.05553903693019e-14
273.010492253312,6,0,0.0770392819478139,"RPL30",0
290.683004740894,6,0,0.156945705054851,"RPS27",0
207.824517364065,6,0,0.101811407041014,"RPL24",0
58.8560372177325,5,2.09422479358068e-11,0.0471772665514669,"GNB2L1",1.2520552509215e-10
192.329961125943,6,0,0.184478180028654,"RPL12",0
223.648518279711,6,0,0.096787324367235,"RPS23",0
