"gene","3","4","5","6","7","8"
"KCNK6",1021.62567403876,1017.50979907168,1022.82196969272,1020.2391106097,1021.82088972295,1021.3718601395
"ARSA",1147.82837831925,1148.70935864714,1142.31549399002,1150.02536810396,1150.46930659727,1149.70746827334
"RAB1B",1620.83368501624,1623.6999182052,1625.40539410978,1623.66692034272,1624.99445783386,1622.6856352711
"TTC3",2519.04991025679,2518.08420292599,2514.60387544245,2515.09932982212,2515.17785278983,2508.34058289953
"COX14",1669.19962949693,1669.79841880702,1669.12630348116,1670.47986206441,1670.03109685067,1669.66672246848
"RPS24",6308.25890665003,6297.91987919251,6296.437416515,6299.2655946438,6295.94770956055,6298.74268468641
"SMCO4",956.310239063371,955.094738427725,950.120428888283,950.215962215734,954.714440616698,953.829201619407
"RPS14",6700.60555497463,6675.78273726264,6670.24992648912,6669.89136684382,6668.28935287721,6671.49916047756
"ATP8B2",1142.1819596233,1138.86104285729,1144.35859620675,1142.26108050869,1144.49875357981,1141.18758786583
"CYB561",1150.82724976888,1144.92733584359,1143.84296864305,1146.01478661736,1147.09945588757,1147.85240814423
"MLEC",1837.67247586765,1837.21727455242,1838.3237963415,1837.13632982701,1834.09321422051,1836.19261631833
"TNFRSF1A",2165.68725137834,2162.20605114931,2165.44676200515,2163.31740883578,2162.85114608041,2161.92959851784
"NAA10",1464.80362170528,1465.98627651302,1465.28761283635,1467.59708259292,1467.34671356579,1463.31749558067
"G6PC3",1122.23839562675,1118.75244172455,1118.3503401156,1115.77159966104,1116.77811905168,1119.09335914882
"PLP2",2308.23030082905,2304.35313624449,2295.48358696109,2294.24692635905,2298.30161713027,2297.58513508794
"SMTN",1197.15337549972,1195.34012414051,1199.1436233727,1199.47540814098,1196.3639976755,1199.58242828117
"WDR45",1204.65567694374,1203.33864547882,1200.12861670358,1204.21300169559,1204.8212282869,1203.77028691449
"C1orf122",2260.46022597843,2233.33820718217,2241.46815724218,2238.96854273483,2238.01297167415,2236.64728716034
"CTTN",1792.39063547597,1791.36063304311,1790.51504910983,1790.40532351393,1791.65318366432,1791.61996604992
"TMEM214",1265.85207589831,1269.49980345243,1269.64640156951,1264.04854682826,1267.39073411705,1268.90675980393
"GIPC1",1353.35723674736,1353.11077633627,1353.4196592333,1350.60777805256,1353.30535297036,1351.04141116087
"YIF1A",1934.55086104804,1922.13916425506,1921.2386037207,1911.34025047622,1908.95886762729,1911.00931194752
"OST4",3876.51269876888,3849.96927621897,3810.17384451968,3802.32291844662,3794.62835608477,3805.14283611034
"MAP2K2",1625.16293735981,1624.68207079711,1623.43846082292,1623.9299552628,1624.83328024151,1623.85322878644
"FBLIM1",1268.98740769007,1273.79801680549,1273.3295100224,1272.29267318569,1271.91530611082,1261.56431178908
"NBL1",3283.6176055798,3281.21144484638,3279.82867399573,3271.56372770566,3273.2752431998,3264.6811907229
"NAGK",1688.58105290945,1692.74633963493,1692.82139096752,1690.94762248896,1689.77801791466,1689.36313415198
"DAB2",2425.83703077167,2424.7114227755,2404.88944655002,2418.34444464896,2412.32335680493,2412.55040281021
"ISOC2",1865.29350298913,1853.35617481958,1847.80725565804,1842.9680548141,1842.76253896889,1845.32261891493
"ACKR1",1054.54672036041,1057.95799571455,1058.81494058711,1050.14709132224,1058.68405370668,1058.26654572893
"MEIS3",1215.25981855466,1204.91663834078,1212.79734964238,1214.5203937602,1214.52862885248,1212.53066618438
"APOBEC3C",1343.97199931839,1343.44876203435,1344.62097114341,1345.61363018436,1345.55676957474,1346.54237698482
"AP2M1",2437.73516261837,2433.23057007929,2424.36185744814,2417.14535807224,2415.63606269205,2418.7252074292
"C1QTNF6",1831.97693343509,1827.82438542026,1830.90154099625,1831.44219958548,1827.05522052614,1825.72948392184
