"omitted_run","score","auc","average_precision"
"SRR18245456","clean_D1_loss",0.685714285714286,0.145330816526469
"SRR18245456","clean_D2",0.457142857142857,0.240009026973135
"SRR18245456","five_hub",0.530952380952381,0.190417509194928
"SRR18245477","clean_D1_loss",0.752380952380952,0.323631682327334
"SRR18245477","clean_D2",0.454761904761905,0.239820703055997
"SRR18245477","five_hub",0.535714285714286,0.301528620306039
"SRR18245482","clean_D1_loss",0.70952380952381,0.29684596804162
"SRR18245482","clean_D2",0.35952380952381,0.223661135780811
"SRR18245482","five_hub",0.666666666666667,0.398932991890738
"SRR18245485","clean_D1_loss",0.766666666666667,0.327516686212338
"SRR18245485","clean_D2",0.323809523809524,0.0674111357808112
"SRR18245485","five_hub",0.676190476190476,0.399747589479529
"SRR18245486","clean_D1_loss",0.780952380952381,0.330777555777556
"SRR18245486","clean_D2",0.388095238095238,0.231774726044503
"SRR18245486","five_hub",0.545238095238095,0.343195286972706
"SRR18245487","clean_D1_loss",0.70952380952381,0.29684596804162
"SRR18245487","clean_D2",0.473809523809524,0.241415327198143
"SRR18245487","five_hub",0.545238095238095,0.343195286972706
"SRR18245497","clean_D1_loss",0.70952380952381,0.29684596804162
"SRR18245497","clean_D2",0.485714285714286,0.242394567307818
"SRR18245497","five_hub",0.685714285714286,0.400588455571604
