"score","gene_n_defined","gene_n_detected","recurrence_median","nonrecurrence_median","wilcoxon_p","auc","auc_ci_low","auc_ci_high","auc_permutation_p","auc_permutation_two_sided_p","average_precision","ap_ci_low","ap_ci_high","ap_permutation_p","prevalence_baseline_ap","primary_translation_fdr"
"clean_D1_loss",42,42,0.246413196033867,-0.126615131003794,0.0462159814119762,0.730612244897959,0.559132653061225,0.885714285714286,0.0228977102289771,0.0457954204579542,0.304800214982586,0.113871206223124,0.59143404710369,0.0262973702629737,0.0909090909090909,0.138647944235928
"clean_D2",975,918,-0.433653754799516,0.160665558182928,0.495118159402207,0.420408163265306,0.16530612244898,0.689795918367347,0.752424757524248,0.500749925007499,0.221100105311463,0.0611121161325851,0.505422116763372,0.119188081191881,0.0909090909090909,0.495118159402207
"five_hub",5,5,0.48844849371524,0.0281283052488647,0.399975903075906,0.597959183673469,0.269387755102041,0.865357142857142,0.202579742025797,0.413458654134587,0.357250422235978,0.100244712818378,0.702712912087912,0.0107989201079892,0.0909090909090909,0.495118159402207
