"donor","condition","n_cells","pt_min","pt_median","pt_max","clean_D1_rho","clean_D2_rho","clean_D1_expected","clean_D2_expected"
"K183156","Keloid",569,0.0692007070414947,19.9208481237642,22.9845452087393,-0.0241806603909548,0.40326017710183,TRUE,TRUE
"K183261","Keloid",49,0.297583267296148,15.1362562380114,22.547306507986,-0.0843877551020408,0.437040816326531,TRUE,TRUE
"K712771","Keloid",93,0.312053443956337,14.1663634508163,22.4638314903592,-0.353391423711617,0.682999612067679,TRUE,TRUE
"N176712","Normal",11,0.319340815162594,7.63301497843142,8.33839985724421,-0.863636363636364,0.781818181818182,TRUE,TRUE
"N177536","Normal",43,0.0686229432760075,6.74314298703417,22.1144210051832,-0.745243128964059,0.649199637571731,TRUE,TRUE
"N387690","Normal",305,0,0.378939526616552,22.4659133351493,-0.20347789676699,0.00795310358828605,TRUE,TRUE
