"gene","dynamic_module","clean_module","expected_sign","retained_n","retained_fraction","retained_all_6","retained_at_least_5","retained_majority"
"BACE2","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"ANGPTL2","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"TMED3","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"TGFBI","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"ABI3BP","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"SORCS2","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"TPM1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"HMCN2","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"MYOF","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"AP2S1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"PDGFRL","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"SEC13","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"RUNX1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"PLXDC2","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"LRP1","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"BGN","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"ADAMTS14","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"FKBP14","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"ATOX1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"NME4","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"ISOC2","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"CD151","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"CTSB","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"MVP","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"MAP4K4","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"C1R","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"FAM20C","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"GPX8","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"OST4","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"RCN1","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
