"gene","dynamic_module","clean_module","expected_sign","scheme","n_repeats","median_rho","expected_direction_fraction","strong_expected_fraction","direction_retained_in_at_least_80pct_repeats"
"CEBPA","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.265004066463012,0.98,0.67,TRUE
"IGFBP2","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.23684450202701,1,0.76,TRUE
"IGFBP2","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.277632733777244,1,0.73,TRUE
"MRPS6","D1_early_decreasing","none",-1,"all_6_donors_n11",100,-0.308549213127249,0.99,0.81,TRUE
"MRPS6","D1_early_decreasing","none",-1,"five_donors_n43",100,-0.252847857364699,1,0.79,TRUE
"CRABP1","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.280216840068263,1,0.98,TRUE
"CRABP1","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.278212705708971,1,0.79,TRUE
"ROBO2","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.195168335407422,1,0.49,TRUE
"ROBO2","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.236115378985139,1,0.64,TRUE
"DKK2","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.210877286705655,1,0.59,TRUE
"DKK2","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.162549279526466,0.88,0.37,TRUE
"PHLDA1","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.240490652529851,0.99,0.65,TRUE
"PHLDA1","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.238885175600835,1,0.7,TRUE
"DIO2","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.137503802314958,0.83,0.28,TRUE
"DIO2","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.157055848294807,1,0.22,TRUE
"MYLIP","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.186172883926253,1,0.34,TRUE
"MYLIP","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.240619297361327,0.97,0.58,TRUE
"LUZP2","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.332980461876937,1,1,TRUE
"LUZP2","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.420455504013291,1,0.92,TRUE
"ZDHHC14","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.175363735773599,0.86,0.41,TRUE
"ZDHHC14","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.140971704828245,1,0.15,TRUE
"PGM2L1","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.286660740322771,0.96,0.71,TRUE
"PGM2L1","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.278485312266117,1,0.96,TRUE
"PREX2","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.136466828749525,1,0.09,TRUE
"PREX2","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.205106662112012,0.96,0.52,TRUE
"TNN","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.204309607564604,1,0.51,TRUE
"TNN","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.214388263949949,0.92,0.54,TRUE
"F2R","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.345069318981486,1,0.93,TRUE
