"gene","dynamic_module","clean_module","expected_sign","scheme","n_repeats","median_rho","expected_direction_fraction","strong_expected_fraction","direction_retained_in_at_least_80pct_repeats"
"FRZB","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.242670398131689,0.99,0.72,TRUE
"FRZB","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.210463475469394,1,0.64,TRUE
"CLIP1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.232768847805298,1,0.63,TRUE
"CLIP1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.198276765632966,1,0.48,TRUE
"TMEM263","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.101483258569341,0.82,0.18,TRUE
"TMEM263","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.17106187598825,1,0.21,TRUE
"CYC1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.0680030200402917,0.78,0.12,FALSE
"CYC1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.147883074864233,1,0.14,TRUE
"DGCR6L","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.208761892306343,0.94,0.51,TRUE
"DGCR6L","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.152564732245388,0.99,0.08,TRUE
"R3HDM4","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.194265992975247,0.94,0.47,TRUE
"R3HDM4","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.153300556585614,0.99,0.18,TRUE
"LSM7","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.121347350174779,0.88,0.31,TRUE
"LSM7","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.116626642770882,1,0.08,TRUE
"CARM1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.155653772175125,0.97,0.31,TRUE
"CARM1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.204699805689741,1,0.52,TRUE
"KCTD12","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.203422749241331,0.97,0.53,TRUE
"KCTD12","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.170404186665491,1,0.22,TRUE
"SLC25A5","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.135611637339953,0.92,0.27,TRUE
"SLC25A5","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.153150890800403,1,0.1,TRUE
"CHMP1A","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.235012284311085,1,0.62,TRUE
"CHMP1A","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.194648854622554,1,0.44,TRUE
"ABHD17A","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.178825840438442,1,0.33,TRUE
"ABHD17A","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.0976863763487992,0.87,0.18,TRUE
"COX7A1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.212120524676453,0.98,0.52,TRUE
"COX7A1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.198781196608996,1,0.48,TRUE
"TIAM2","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.132820218447346,0.86,0.23,TRUE
"TIAM2","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.187995914101398,1,0.44,TRUE
"AURKAIP1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.196276860580521,0.96,0.5,TRUE
"AURKAIP1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.184118861466398,1,0.39,TRUE
"SLC31A1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.166024522874182,0.94,0.39,TRUE
"SLC31A1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.19983701659101,1,0.5,TRUE
"ARFGAP3","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.210830843243247,0.96,0.56,TRUE
"ARFGAP3","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.235784635367907,1,0.69,TRUE
"NME3","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.0458371581414729,0.72,0.05,FALSE
"NME3","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.124206210612743,1,0.1,TRUE
"MRPL41","D2_late_increasing","none",1,"all_6_donors_n11",100,0.155539879576994,0.92,0.35,TRUE
"MRPL41","D2_late_increasing","none",1,"five_donors_n43",100,0.200020587427287,1,0.5,TRUE
"UFC1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.230314895807232,0.99,0.59,TRUE
"UFC1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.214159283525028,1,0.57,TRUE
"NDUFA2","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.194924941950031,0.96,0.46,TRUE
"NDUFA2","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.156150355515668,1,0.19,TRUE
"FSCN1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.137681381731785,0.84,0.29,TRUE
"FSCN1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.196784320915249,1,0.47,TRUE
"DLG1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.0773462323199336,0.72,0.07,FALSE
"DLG1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.133449219321025,1,0.16,TRUE
"PCED1A","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.173651063413171,0.97,0.42,TRUE
"PCED1A","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.227799568577412,1,0.79,TRUE
"BLOC1S1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.200996496459368,1,0.53,TRUE
"BLOC1S1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.196874863624439,0.96,0.49,TRUE
"COL8A2","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.11284120309779,1,0.02,TRUE
"COL8A2","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.121913094767268,0.87,0.15,TRUE
"LZTS1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.169350334180942,1,0.25,TRUE
"LZTS1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.159326409138817,0.95,0.32,TRUE
"LSP1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.155416385467721,0.92,0.31,TRUE
"LSP1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.0997126953291169,0.95,0.01,TRUE
"KIF1C","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.0806055942158098,0.75,0.13,FALSE
"KIF1C","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.145668557659667,1,0.11,TRUE
"CMTM3","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.179408479796057,1,0.29,TRUE
"CMTM3","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.0968626278197583,0.85,0.12,TRUE
"WDR46","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.121198422893892,0.99,0.05,TRUE
"WDR46","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.125693291680215,0.82,0.29,TRUE
"EFHD2","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.181032558798299,0.95,0.48,TRUE
"EFHD2","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.209867327473336,1,0.64,TRUE
"MGP","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.280755235418035,1,0.8,TRUE
"MGP","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.250948798228615,1,0.87,TRUE
"XPOT","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.211983088332314,1,0.6,TRUE
"XPOT","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.227807735633998,0.939393939393939,0.595959595959596,TRUE
"PKIG","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.189805616784615,1,0.4,TRUE
"PKIG","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.217517778047576,0.98,0.58,TRUE
"BCL3","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.242962432534902,1,0.68,TRUE
"BCL3","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.232210261008637,1,0.78,TRUE
"ARHGDIA","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.104067715612941,0.83,0.19,TRUE
"ARHGDIA","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.128080773064197,1,0.09,TRUE
"ZNF428","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.161531363219202,1,0.18,TRUE
"ZNF428","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.105212456141225,0.83,0.09,TRUE
"LOXL2","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.108850621689832,0.97,0.07,TRUE
"LOXL2","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.0966691166532436,0.76,0.18,FALSE
"UQCR10","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.24589214853137,1,0.83,TRUE
"UQCR10","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.25812165762868,0.99,0.64,TRUE
"RAB7B","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.110190827706339,0.91,0.25,TRUE
"RAB7B","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.150936041060331,1,0.15,TRUE
"RABAC1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.141627057760846,0.87,0.29,TRUE
"RABAC1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.174611333952459,0.99,0.29,TRUE
"DPM3","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.152971380766041,0.9,0.36,TRUE
"DPM3","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.144437179330943,0.99,0.09,TRUE
"CSTB","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.163037548831196,1,0.15,TRUE
"CSTB","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.183427748530511,0.97,0.45,TRUE
"TMUB1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.149366282861604,0.95,0.28,TRUE
"TMUB1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.207300663941789,1,0.61,TRUE
"PSMB9","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.202675856453573,0.98,0.51,TRUE
"PSMB9","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.174314424700997,1,0.25,TRUE
"AP1S1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.235536854282263,0.97,0.73,TRUE
"AP1S1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.231637545793172,1,0.74,TRUE
"MYL6","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.111150642676268,0.99,0.08,TRUE
"MYL6","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.141711414799877,0.86,0.31,TRUE
"LIMK1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.147617639938157,0.91,0.34,TRUE
"LIMK1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.177665507448298,1,0.36,TRUE
"GBP2","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.229370798079029,0.99,0.65,TRUE
"GBP2","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.213735635197904,1,0.72,TRUE
"AMPD2","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.158587071217262,0.878787878787879,0.303030303030303,TRUE
"AMPD2","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.121626289480209,0.98,0.03,TRUE
"BEST1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.185874014021323,1,0.41,TRUE
"BEST1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.0143037343133695,0.54,0.02,FALSE
"CUEDC2","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.176061250220653,1,0.34,TRUE
"CUEDC2","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.170624923925556,0.93,0.44,TRUE
"ILF2","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.127388578235898,0.91,0.22,TRUE
"ILF2","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.146347131811558,1,0.19,TRUE
"TUBA1B","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.300830093396071,1,0.76,TRUE
"TUBA1B","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.224260174853178,1,0.62,TRUE
"SAC3D1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.17994485466769,0.91,0.46,TRUE
"SAC3D1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.215079910425629,1,0.65,TRUE
"GDI2","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.177400677806254,1,0.33,TRUE
"GDI2","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.142518363618139,0.93,0.32,TRUE
"DCTD","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.16733690581649,0.91,0.33,TRUE
"DCTD","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.165794196189083,1,0.2,TRUE
"FAM127A","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.184582678103444,0.92,0.47,TRUE
"FAM127A","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.0951089139009168,0.98,0.02,TRUE
"RPN2","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.17226148197535,0.98,0.42,TRUE
"RPN2","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.157706627716787,0.99,0.16,TRUE
"ATP5E","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.220178878418845,1,0.65,TRUE
"ATP5E","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.260443946029455,1,0.74,TRUE
"CDC42EP1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.16828962804166,0.97,0.36,TRUE
"CDC42EP1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.209237389630234,1,0.62,TRUE
"PUF60","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.212473847452929,0.98,0.55,TRUE
"PUF60","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.197328334230593,1,0.48,TRUE
"INPPL1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.188846733836592,0.93,0.43,TRUE
"INPPL1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.188454052181615,1,0.39,TRUE
"MYL6B","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.196869904783776,1,0.45,TRUE
"MYL6B","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.15487052865953,0.92,0.33,TRUE
"PKN1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.227014924608891,1,0.74,TRUE
"PKN1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.170836796428274,0.96,0.37,TRUE
"LTBP2","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.242026736627569,1,0.79,TRUE
"LTBP2","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.239165560080796,0.98989898989899,0.626262626262626,TRUE
"COL15A1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.123378887363237,0.91,0.22,TRUE
"COL15A1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.146228697070352,1,0.07,TRUE
"NOP10","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.230352578048283,0.97,0.63,TRUE
"NOP10","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.204939797749019,1,0.53,TRUE
"RAB11FIP5","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.204633874498615,1,0.53,TRUE
"RAB11FIP5","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.22349840242436,0.96,0.55,TRUE
"OXLD1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.238483155514587,1,0.76,TRUE
"OXLD1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.166619603881642,0.93,0.43,TRUE
"DNM3OS","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.188181146886543,0.88,0.45,TRUE
"DNM3OS","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.15104686755015,1,0.2,TRUE
"LRRC75A","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.150934415335357,0.9,0.3,TRUE
"LRRC75A","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.218387749949586,1,0.63,TRUE
"XXYLT1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.207963185359194,1,0.54,TRUE
"XXYLT1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.151185572282413,0.89,0.3,TRUE
"GCN1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.151973882441647,1,0.15,TRUE
"GCN1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.191980079070173,0.95,0.46,TRUE
"FAAP100","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.0874274740055545,0.82,0.19,TRUE
"FAAP100","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.131260504673236,1,0.05,TRUE
"PTGDS","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.28818167112671,1,0.85,TRUE
"PTGDS","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.244129892207732,1,0.88,TRUE
"CCL27","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.153900303306996,1,0.19,TRUE
"CCL27","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.03144005010837,0.69,0.05,FALSE
"CAPG","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.204171151658352,1,0.53,TRUE
"CAPG","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.255741840289358,0.98,0.72,TRUE
"MYC","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.102760559281614,1,0.01,TRUE
"MYC","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.10070075527084,0.77,0.19,FALSE
"MDFI","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.211031804386843,0.94,0.54,TRUE
"MDFI","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.154784899626394,1,0.2,TRUE
"B4GALT7","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.188953406664963,0.99,0.45,TRUE
"B4GALT7","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.163536608316775,1,0.17,TRUE
"PSMD8","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.0943972482030371,0.83,0.22,TRUE
"PSMD8","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.129024187561095,0.99,0.05,TRUE
"IMP4","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.194620741966121,1,0.43,TRUE
"IMP4","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.247203083468336,0.99,0.65,TRUE
"APRT","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.157475936101436,0.87,0.34,TRUE
"APRT","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.168271760988925,1,0.23,TRUE
"PTGES2","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.206551452661753,0.93,0.52,TRUE
"PTGES2","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.184489857071359,1,0.36,TRUE
"SLC35E1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.255904748026289,0.99,0.63,TRUE
"SLC35E1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.210145667347164,1,0.58,TRUE
"ANO1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.200228507688613,1,0.51,TRUE
"ANO1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.216969630263569,0.95959595959596,0.595959595959596,TRUE
"SEC61B","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.189439937190609,0.95,0.47,TRUE
"SEC61B","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.205462130910741,1,0.57,TRUE
"TTC3","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.128937996998808,0.86,0.24,TRUE
"TTC3","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.180717652612966,1,0.33,TRUE
"POLR2G","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.147367222586345,0.97,0.29,TRUE
"POLR2G","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.255632803692283,1,0.88,TRUE
"TIMM13","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.195815598030251,1,0.47,TRUE
"TIMM13","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.236239719586027,1,0.66,TRUE
"TMED2","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.19004004558225,1,0.4,TRUE
"TMED2","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.142431233017235,0.92,0.27,TRUE
"MMP14","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.203403366242613,0.92,0.51,TRUE
"MMP14","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.206976188459013,1,0.58,TRUE
"UBA1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.134855399045996,0.89,0.23,TRUE
"UBA1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.15610037167379,1,0.19,TRUE
"APLNR","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.224949527441684,0.99,0.66,TRUE
"APLNR","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.245004779286819,1,0.91,TRUE
"DGKZ","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.205913166086192,1,0.56,TRUE
"DGKZ","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.202073117820427,0.94,0.51,TRUE
"ELN","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.246116267833877,0.99,0.69,TRUE
"ELN","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.256309335203367,1,0.89,TRUE
"PRELID1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.279977989862431,0.99,0.74,TRUE
"PRELID1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.227064499115121,1,0.71,TRUE
"SIRT2","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.181429797306762,0.98,0.39,TRUE
"SIRT2","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.17127135427782,1,0.23,TRUE
"IL32","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.194600943589677,1,0.46,TRUE
"IL32","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.223019042682187,0.98,0.63,TRUE
"CHRD","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.243679858704158,1,0.66,TRUE
"CHRD","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.246051724488186,1,0.87,TRUE
"BAX","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.121962837156921,0.89,0.24,TRUE
"BAX","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.154060607519219,1,0.2,TRUE
"PLEKHO1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.10064717638124,0.88,0.11,TRUE
"PLEKHO1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.205530457872822,1,0.53,TRUE
"TSPAN4","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.221748781717415,1,0.7,TRUE
"TSPAN4","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.239592005555004,0.98,0.65,TRUE
"TCEB2","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.194114489078957,1,0.44,TRUE
"TCEB2","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.231727494239303,0.98,0.67,TRUE
"ATP8B2","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.22603851253618,1,0.68,TRUE
"ATP8B2","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.267468835631254,0.97,0.78,TRUE
"ATP6V0E1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.109220643452667,0.82,0.23,TRUE
"ATP6V0E1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.170535377054137,0.99,0.31,TRUE
"SPOP","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.217883012010829,1,0.58,TRUE
"SPOP","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.200457844371931,1,0.51,TRUE
"DUSP23","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.162973794140992,0.99,0.21,TRUE
"DUSP23","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.143231006981632,0.92,0.29,TRUE
"CCND2","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.168030871363274,0.99,0.24,TRUE
"CCND2","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.159767028079966,0.94,0.33,TRUE
"SLC3A2","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.163779706385653,0.94,0.37,TRUE
"SLC3A2","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.178839185355279,1,0.32,TRUE
"TMEM205","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.270447715426035,0.99,0.81,TRUE
"TMEM205","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.240967594879273,1,0.87,TRUE
"COMMD7","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.187137486092617,0.99,0.42,TRUE
"COMMD7","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.223730366155421,0.98,0.64,TRUE
"UBTD1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.212954885278997,1,0.63,TRUE
"UBTD1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.251319476307428,1,0.72,TRUE
"SPNS1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.169709253554571,1,0.39,TRUE
"SPNS1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.23540225248741,1,0.85,TRUE
"MRGPRF","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.135597414096957,0.94,0.16,TRUE
"MRGPRF","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.209595025807836,1,0.58,TRUE
"PIGP","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.196982878035741,1,0.46,TRUE
"PIGP","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.198064997714264,0.96,0.49,TRUE
"DDT","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.259316193971652,1,0.86,TRUE
"DDT","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.197499953268063,0.99,0.49,TRUE
"CPNE1","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.237356290084386,1,0.78,TRUE
"CPNE1","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.183198115330282,0.96,0.43,TRUE
"TSPAN9","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.273000742277876,0.97,0.73,TRUE
"TSPAN9","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.262151816907675,1,0.87,TRUE
"NDUFA13","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.191086464199662,1,0.41,TRUE
"NDUFA13","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.267446536345073,0.98,0.66,TRUE
"PTPN14","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.1019451072494,0.98,0.01,TRUE
"PTPN14","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.103115305288092,0.81,0.16,TRUE
"MXD4","D2_late_increasing","clean_D2",1,"five_donors_n43",100,0.190023866592477,1,0.4,TRUE
"MXD4","D2_late_increasing","clean_D2",1,"all_6_donors_n11",100,0.187324360245299,0.92,0.46,TRUE
