"left_out_donor","n_cells","clean_D1_rho","clean_D2_rho"
"K183156",501,-0.71711019395472,0.680242765465086
"K183261",1021,-0.709314153964422,0.791105626101889
"K712771",977,-0.695928837585004,0.783110840285019
"N176712",1059,-0.687117795817009,0.779700882918677
"N177536",1027,-0.676182688429382,0.776734552058137
"N387690",765,-0.274863421231797,0.538821937261228
