"cell","ordering_set","pseudotime","program","sample","condition"
"K183156_CELL30180_N1","program_DE_top1000",18.8802472279585,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL31044_N1","program_DE_top1000",18.7421871598263,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL31471_N1","program_DE_top1000",15.6348984119138,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL31584_N1","program_DE_top1000",20.5724018601648,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL31596_N1","program_DE_top1000",20.4580850545104,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL31644_N1","program_DE_top1000",18.5688981639462,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL31729_N1","program_DE_top1000",16.5924736189447,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL31924_N1","program_DE_top1000",12.4299605537928,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL32069_N1","program_DE_top1000",14.4045936867571,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL32181_N1","program_DE_top1000",18.1873743767235,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL32209_N1","program_DE_top1000",12.6620958691414,"ECM-producing fibroblasts","K183156","Keloid"
"K183261_CELL782_N3","program_DE_top1000",15.9523640888768,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL831_N2","program_DE_top1000",11.6548860826225,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL1053_N6","program_DE_top1000",20.2555984310184,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL1385_N2","program_DE_top1000",11.4235331720225,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL1474_N3","program_DE_top1000",12.5650666675003,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL1794_N4","program_DE_top1000",15.8478708582817,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL1909_N4","program_DE_top1000",8.77281189010957,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL1937_N4","program_DE_top1000",5.37769562562014,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL2058_N2","program_DE_top1000",17.6239228779194,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL2230_N5","program_DE_top1000",15.1640010081441,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL2234_N4","program_DE_top1000",8.22753056860345,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL2264_N3","program_DE_top1000",20.3004348577073,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL2301_N2","program_DE_top1000",4.16544089137497,"Matrix-remodeling fibroblasts","K183261","Keloid"
"K183261_CELL3150_N2","program_DE_top1000",16.1532120209145,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL3380_N4","program_DE_top1000",11.1648886073258,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL3662_N6","program_DE_top1000",11.6409035087502,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL3774_N3","program_DE_top1000",12.6648694842845,"Matrix-remodeling fibroblasts","K183261","Keloid"
"K183261_CELL4138_N3","program_DE_top1000",12.9796914623455,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL4247_N4","program_DE_top1000",6.28270515219493,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL4530_N7","program_DE_top1000",20.5924949172987,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL4642_N3","program_DE_top1000",17.0283123300117,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL4741_N3","program_DE_top1000",15.6747628061358,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL5112_N2","program_DE_top1000",15.9786453841395,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL5265_N2","program_DE_top1000",8.66083252549009,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL5296_N2","program_DE_top1000",15.5378501883698,"Matrix-remodeling fibroblasts","K183261","Keloid"
"K183261_CELL6116_N2","program_DE_top1000",9.11048185474012,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL6202_N3","program_DE_top1000",17.5006760193588,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL7358_N2","program_DE_top1000",20.4674613927351,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL7359_N1","program_DE_top1000",8.55502465075723,"Matrix-remodeling fibroblasts","K183261","Keloid"
"K183261_CELL8615_N4","program_DE_top1000",10.8577711638673,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL9070_N3","program_DE_top1000",14.457119166461,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL9269_N3","program_DE_top1000",17.4356982991237,"Matrix-remodeling fibroblasts","K183261","Keloid"
"K183261_CELL9511_N3","program_DE_top1000",18.2029042959214,"Matrix-remodeling fibroblasts","K183261","Keloid"
"K183261_CELL9537_N3","program_DE_top1000",0.377680436783548,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL9555_N2","program_DE_top1000",9.48169199497053,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL9812_N4","program_DE_top1000",11.5981614678313,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL9904_N2","program_DE_top1000",6.43504421822517,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL10261_N1","program_DE_top1000",14.7763945811554,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL12047_N1","program_DE_top1000",12.9014082225305,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL13785_N1","program_DE_top1000",9.37021440431295,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL17149_N1","program_DE_top1000",12.0367112810854,"Matrix-remodeling fibroblasts","K183261","Keloid"
"K183261_CELL17959_N1","program_DE_top1000",12.9272239645458,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL19488_N1","program_DE_top1000",8.9220416637468,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL20828_N1","program_DE_top1000",16.1417339605264,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL26267_N1","program_DE_top1000",10.9744002388875,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL30227_N1","program_DE_top1000",12.2722007053134,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL34896_N1","program_DE_top1000",0.324866997411841,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL36106_N1","program_DE_top1000",14.5418559633735,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL37268_N1","program_DE_top1000",11.0537050303899,"ECM-producing fibroblasts","K183261","Keloid"
"K712771_CELL329_N4","program_DE_top1000",20.4287939242722,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL502_N3","program_DE_top1000",0.521498606702987,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL710_N4","program_DE_top1000",14.5240738673042,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL834_N1","program_DE_top1000",10.8374093657056,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL859_N6","program_DE_top1000",11.4965098743464,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL1003_N2","program_DE_top1000",19.3258916326405,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL1279_N4","program_DE_top1000",17.8640947840445,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL1351_N2","program_DE_top1000",16.9988547569118,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL1464_N4","program_DE_top1000",14.917544513294,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL1603_N2","program_DE_top1000",13.2649372550256,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL1806_N3","program_DE_top1000",13.3060571678079,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL1977_N5","program_DE_top1000",20.5894867893705,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL1989_N4","program_DE_top1000",12.9767606458384,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL1996_N3","program_DE_top1000",14.3885582837428,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL2224_N4","program_DE_top1000",17.0520654969908,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL2493_N7","program_DE_top1000",20.5988186488117,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL2762_N5","program_DE_top1000",14.4620744258177,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL3052_N3","program_DE_top1000",17.9850984366087,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL3113_N2","program_DE_top1000",15.4040050859665,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL3674_N3","program_DE_top1000",18.2006798293802,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL4138_N2","program_DE_top1000",10.3092310133125,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL4504_N2","program_DE_top1000",18.2261401819901,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL5011_N4","program_DE_top1000",11.9972311068855,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL5241_N2","program_DE_top1000",10.8246388202061,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL5313_N2","program_DE_top1000",13.6830598032879,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL5445_N4","program_DE_top1000",10.9125861525783,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL5485_N1","program_DE_top1000",10.8582822902804,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL5492_N2","program_DE_top1000",19.1562849281762,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL5571_N3","program_DE_top1000",15.3660445531709,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL5672_N2","program_DE_top1000",20.5014043251986,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL5695_N3","program_DE_top1000",15.92373695228,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL6146_N1","program_DE_top1000",11.8060618740511,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL6298_N2","program_DE_top1000",0.404903402908386,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL6542_N3","program_DE_top1000",20.5123872276438,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL6576_N2","program_DE_top1000",10.0291100458754,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL6579_N2","program_DE_top1000",16.6184887187725,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL6732_N2","program_DE_top1000",20.6198268474423,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL6787_N2","program_DE_top1000",12.012936365357,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL6857_N3","program_DE_top1000",20.1056421110982,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL7321_N4","program_DE_top1000",9.76451688705936,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL7398_N2","program_DE_top1000",15.8368190191223,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL7490_N2","program_DE_top1000",18.7619122212746,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL8181_N2","program_DE_top1000",10.7001857893844,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL8397_N3","program_DE_top1000",12.3845559178751,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL8809_N1","program_DE_top1000",12.3913365641196,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL8906_N2","program_DE_top1000",20.7758884393377,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL8975_N2","program_DE_top1000",10.7219155691576,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL9044_N2","program_DE_top1000",16.1003456550066,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL9469_N1","program_DE_top1000",11.2900879236805,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL9682_N5","program_DE_top1000",20.4549358734976,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL10156_N2","program_DE_top1000",4.710253506591,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL10795_N1","program_DE_top1000",10.7853088200849,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL11078_N2","program_DE_top1000",10.2203008462636,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL11095_N3","program_DE_top1000",20.6145063660942,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL11452_N2","program_DE_top1000",18.6049598957074,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL11479_N2","program_DE_top1000",13.2678157260631,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL11481_N2","program_DE_top1000",16.7262061713251,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL11522_N3","program_DE_top1000",13.4020504147775,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL11558_N3","program_DE_top1000",13.8572750345903,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL11931_N2","program_DE_top1000",20.3133231693986,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL12144_N2","program_DE_top1000",20.3896290951596,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL12364_N3","program_DE_top1000",20.59632246393,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL12466_N1","program_DE_top1000",4.86577727614046,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL12512_N1","program_DE_top1000",10.9703087808285,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL12584_N2","program_DE_top1000",5.96921727335203,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL12890_N2","program_DE_top1000",10.9829092284841,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL13133_N1","program_DE_top1000",14.6483745665922,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL13267_N1","program_DE_top1000",5.65847803779958,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL13941_N1","program_DE_top1000",11.1547031245497,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL14353_N1","program_DE_top1000",15.4750525498399,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL15190_N1","program_DE_top1000",14.1734192801537,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL15220_N1","program_DE_top1000",10.3392837841954,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL16633_N1","program_DE_top1000",12.0015423508041,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL16714_N1","program_DE_top1000",11.5032447751708,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL17064_N1","program_DE_top1000",11.7249572310885,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL17104_N1","program_DE_top1000",12.5503545834822,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL17382_N1","program_DE_top1000",10.790246249404,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL18078_N1","program_DE_top1000",15.4682246636682,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL18219_N1","program_DE_top1000",18.3196046572135,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL19019_N1","program_DE_top1000",11.647209132515,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL19429_N1","program_DE_top1000",10.5170255732107,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL19483_N1","program_DE_top1000",15.5116687865634,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL20341_N1","program_DE_top1000",14.9021490731288,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL20624_N1","program_DE_top1000",20.7279888086729,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL20715_N1","program_DE_top1000",20.334135571205,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL21116_N1","program_DE_top1000",20.5123826989179,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL21319_N1","program_DE_top1000",10.7315982186543,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL21676_N1","program_DE_top1000",11.1860737815377,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL21794_N1","program_DE_top1000",12.8370705374238,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL22525_N1","program_DE_top1000",10.6897723038399,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL23153_N1","program_DE_top1000",16.9200143365733,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL23672_N1","program_DE_top1000",11.824999262919,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL23805_N1","program_DE_top1000",10.2328830936098,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"N176712_CELL1209_N3","program_DE_top1000",4.73875411262245,"Matrix-remodeling fibroblasts","N176712","Normal"
"N176712_CELL2777_N3","program_DE_top1000",6.29157116250695,"Homeostatic/regulatory fibroblasts","N176712","Normal"
"N176712_CELL3232_N2","program_DE_top1000",0.0430687170103505,"Homeostatic/regulatory fibroblasts","N176712","Normal"
"N176712_CELL3900_N2","program_DE_top1000",12.0252621490743,"Homeostatic/regulatory fibroblasts","N176712","Normal"
"N176712_CELL4364_N2","program_DE_top1000",5.96069052386231,"Matrix-remodeling fibroblasts","N176712","Normal"
"N176712_CELL5248_N3","program_DE_top1000",0.419521646627246,"ECM-producing fibroblasts","N176712","Normal"
"N176712_CELL6455_N2","program_DE_top1000",11.8777094467841,"Homeostatic/regulatory fibroblasts","N176712","Normal"
"N176712_CELL6949_N3","program_DE_top1000",8.70814849505458,"Homeostatic/regulatory fibroblasts","N176712","Normal"
"N176712_CELL9310_N1","program_DE_top1000",0.412254509265422,"Homeostatic/regulatory fibroblasts","N176712","Normal"
"N176712_CELL14513_N1","program_DE_top1000",5.33433828108778,"Matrix-remodeling fibroblasts","N176712","Normal"
"N176712_CELL14881_N1","program_DE_top1000",8.3862427387412,"Matrix-remodeling fibroblasts","N176712","Normal"
"N177536_CELL99_N5","program_DE_top1000",9.24877152573323,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL467_N2","program_DE_top1000",4.16350189539157,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL641_N3","program_DE_top1000",11.6430783963111,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL1859_N3","program_DE_top1000",12.8308204539517,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL2671_N2","program_DE_top1000",8.59503137105881,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL3702_N2","program_DE_top1000",0.237994946084223,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL3817_N3","program_DE_top1000",8.99984951849576,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL4444_N3","program_DE_top1000",9.1708947919268,"Matrix-remodeling fibroblasts","N177536","Normal"
"N177536_CELL4931_N3","program_DE_top1000",6.30558869098756,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL5149_N2","program_DE_top1000",6.24081971935156,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL5420_N3","program_DE_top1000",0.612517245198507,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL5535_N2","program_DE_top1000",11.7668682700001,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL5547_N2","program_DE_top1000",0.938369020114163,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL6495_N2","program_DE_top1000",0.265701907719083,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL6881_N2","program_DE_top1000",2.69104768895274,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL8407_N2","program_DE_top1000",8.72835413824585,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL8499_N2","program_DE_top1000",1.09257494242155,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL8756_N3","program_DE_top1000",11.7036202464391,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL8831_N2","program_DE_top1000",20.674110214642,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL9609_N2","program_DE_top1000",0.307613514434552,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL9771_N2","program_DE_top1000",11.8182684883474,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL9976_N2","program_DE_top1000",0.432525954980814,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL10205_N3","program_DE_top1000",8.20541036692429,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL10358_N2","program_DE_top1000",11.0231041961367,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL11050_N3","program_DE_top1000",5.03671481643904,"Matrix-remodeling fibroblasts","N177536","Normal"
"N177536_CELL11056_N2","program_DE_top1000",6.55924452810305,"ECM-producing fibroblasts","N177536","Normal"
"N177536_CELL11528_N3","program_DE_top1000",16.0159092475983,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL11941_N3","program_DE_top1000",2.18606834554917,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL13121_N1","program_DE_top1000",9.11148025759425,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL15883_N1","program_DE_top1000",9.05910838315,"Matrix-remodeling fibroblasts","N177536","Normal"
"N177536_CELL16993_N1","program_DE_top1000",3.12010927247816,"ECM-producing fibroblasts","N177536","Normal"
"N177536_CELL17130_N1","program_DE_top1000",3.88945655221909,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL18616_N1","program_DE_top1000",11.9729868261051,"ECM-producing fibroblasts","N177536","Normal"
"N177536_CELL19214_N1","program_DE_top1000",0.965641546015631,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL19706_N1","program_DE_top1000",0.891701520089448,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL20358_N1","program_DE_top1000",8.1332700003871,"Matrix-remodeling fibroblasts","N177536","Normal"
"N177536_CELL22589_N1","program_DE_top1000",8.24901295703105,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL22836_N1","program_DE_top1000",4.38776345437195,"ECM-producing fibroblasts","N177536","Normal"
"N177536_CELL22977_N1","program_DE_top1000",8.47159024864851,"Matrix-remodeling fibroblasts","N177536","Normal"
"N177536_CELL23410_N1","program_DE_top1000",0.430745852002759,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL25842_N1","program_DE_top1000",12.1579248368901,"Matrix-remodeling fibroblasts","N177536","Normal"
"N177536_CELL26198_N1","program_DE_top1000",10.7106805418017,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL27559_N1","program_DE_top1000",12.578666169262,"ECM-producing fibroblasts","N177536","Normal"
"N387690_CELL199_N3","program_DE_top1000",0.314851239453827,"ECM-producing fibroblasts","N387690","Normal"
"N387690_CELL228_N3","program_DE_top1000",0.500047352659409,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL241_N3","program_DE_top1000",0.442989914842514,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL304_N4","program_DE_top1000",4.10530500863426,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL318_N4","program_DE_top1000",5.91495905385008,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL357_N3","program_DE_top1000",0.747652087676383,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL370_N2","program_DE_top1000",0.32372350300564,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL477_N3","program_DE_top1000",0.390824934662758,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL532_N4","program_DE_top1000",2.96889417336547,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL573_N2","program_DE_top1000",0.306579386005029,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL669_N3","program_DE_top1000",0.335939776152386,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL780_N3","program_DE_top1000",6.12316275909674,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL787_N3","program_DE_top1000",0.517589713111381,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL811_N2","program_DE_top1000",0.517438184997533,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL939_N3","program_DE_top1000",0.45269956929417,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL1036_N1","program_DE_top1000",1.77826807947294,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL1048_N2","program_DE_top1000",0.245638142740652,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL1082_N4","program_DE_top1000",6.05272340861267,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL1182_N2","program_DE_top1000",0.424673366705927,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL1198_N2","program_DE_top1000",0.575039744655727,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL1312_N2","program_DE_top1000",0.158754291815717,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL1336_N2","program_DE_top1000",0.361964926034661,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL1371_N2","program_DE_top1000",0.534673718586038,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL1400_N2","program_DE_top1000",5.22070909158256,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL1473_N3","program_DE_top1000",0.889610425297292,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL1541_N4","program_DE_top1000",0.392434371992445,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL1569_N3","program_DE_top1000",0.51523347905958,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL1703_N2","program_DE_top1000",0.494009126761666,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL1731_N3","program_DE_top1000",1.63267303574876,"ECM-producing fibroblasts","N387690","Normal"
"N387690_CELL1774_N3","program_DE_top1000",0.527610821390788,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL1787_N3","program_DE_top1000",0.240808254967746,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL1804_N4","program_DE_top1000",1.08802801304746,"ECM-producing fibroblasts","N387690","Normal"
"N387690_CELL1836_N3","program_DE_top1000",0.318119974695471,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL1898_N4","program_DE_top1000",0.45546884142836,"Homeostatic/regulatory fibroblasts","N387690","Normal"
"N387690_CELL2098_N2","program_DE_top1000",0.441692481781406,"Homeostatic/regulatory fibroblasts","N387690","Normal"
